iter	MultiClass
118	0.3998454856
119	0.3960246456
120	0.3919466899
121	0.3892966157
122	0.38546835
123	0.3833886373
124	0.3797534537
125	0.3775916276
126	0.3746767428
127	0.3713138511
128	0.3675431597
129	0.3636405249
130	0.360737376
131	0.3565960926
132	0.3534186746
133	0.3506561932
134	0.3474655415
135	0.3443684257
136	0.3406476036
137	0.3382736499
138	0.3358871179
139	0.3338467978
140	0.3317591933
141	0.329352475
142	0.3275121953
143	0.3257143325
144	0.3228515891
145	0.3215336057
146	0.3203807681
147	0.3179605812
148	0.3163477585
149	0.3141558084
150	0.3133349575
151	0.3111096772
152	0.3070569774
153	0.305057133
154	0.3035645715
155	0.3019868047
156	0.3001305561
157	0.2981434501
158	0.2959198251
159	0.2937703187
160	0.2919081231
161	0.2892716247
162	0.2871219764
163	0.2860488225
164	0.2841141272
165	0.282944477
166	0.2813094183
167	0.2790674089
168	0.2775018299
169	0.2757632649
170	0.2742270705
171	0.2717323359
172	0.2702271028
173	0.2684255142
174	0.2675487226
175	0.2663608047
176	0.2649749796
177	0.2639104396
178	0.2619593461
179	0.2594345132
180	0.2577803719
181	0.2570885031
182	0.2553435139
183	0.25410768
184	0.2519770967
185	0.2503848071
186	0.2490760357
187	0.2479847425
188	0.2467890928
189	0.2451628045
190	0.2443119278
191	0.243097146
192	0.242334601
193	0.2409508405
194	0.2396899123
195	0.2385639383
196	0.2367148987
197	0.2351672665
198	0.2338538344
199	0.2327274159
200	0.2311875848
201	0.2303881424
202	0.2287908799
203	0.2277928906
204	0.2268126863
205	0.2254766547
206	0.224498167
207	0.2233759132
208	0.2217070068
209	0.2207884834
210	0.2192860495
211	0.2185395383
212	0.2179778249
213	0.2171704806
214	0.2158128541
215	0.2152981823
216	0.2140318787
217	0.2126547907
218	0.21197164
219	0.2105366693
220	0.209378221
221	0.2081251114
222	0.2067029112
223	0.20559476
224	0.2042347312
225	0.2034622921
226	0.2026754399
227	0.2017005053
228	0.2009102702
229	0.2000128245
230	0.1990768259
231	0.1981523887
232	0.1970693213
233	0.196135678
234	0.1954724352
235	0.1948880652
236	0.1940088839
237	0.1926614084
238	0.1915869406
239	0.1908710865
240	0.1897794958
241	0.1888780183
242	0.1876041422
243	0.1866372118
244	0.1850980413
245	0.18433532
246	0.1830609633
247	0.1821378698
248	0.1811994024
249	0.1804676395
250	0.1792074224
251	0.1779799797
252	0.1768705437
253	0.1757240984
254	0.1752345106
255	0.1745831068
256	0.1735338773
257	0.1729748572
258	0.1714821614
259	0.1709041031
260	0.1698972578
261	0.1689399109
262	0.1683816939
263	0.1677994566
264	0.1670329517
265	0.1665472349
266	0.1658442853
267	0.1654221208
268	0.1648568331
269	0.1637782787
270	0.1633605827
271	0.1626707374
272	0.1620084326
273	0.1612412396
274	0.160474508
275	0.1601630765
276	0.1594675781
277	0.158898019
278	0.1581779156
279	0.157238389
280	0.1566948128
281	0.155963287
282	0.155342252
283	0.1546762209
284	0.1540355159
285	0.153155997
286	0.152720045
287	0.1518120356
288	0.1514411226
289	0.1507479121
290	0.1502142922
291	0.1494372768
292	0.1487449442
293	0.1482098212
294	0.1477874764
295	0.1472413479
296	0.1468121958
297	0.1462744179
298	0.1455773493
299	0.1452167526
300	0.1446536192
301	0.1442579178
302	0.1437448752
303	0.1429699252
304	0.1426688473
305	0.1420222116
306	0.1415764179
307	0.1409310052
308	0.1404667117
309	0.1399807605
310	0.1394349578
311	0.1387678764
312	0.1381668805
313	0.1376195795
314	0.1372990277
315	0.1368886416
316	0.1363281199
317	0.1358197585
318	0.1352783857
319	0.1346863122
320	0.1341681429
321	0.1335989832
322	0.132989509
323	0.1325067559
324	0.1321978227
325	0.1316868485
326	0.1312375136
327	0.130711339
328	0.1301914889
329	0.1296033218
330	0.129169604
331	0.1286684336
332	0.1281145495
333	0.127812823
334	0.1273551169
335	0.1270412154
336	0.1265454173
337	0.1259735293
338	0.1253807179
339	0.1248408531
340	0.1243236392
341	0.1237967844
342	0.1232951516
343	0.1230038125
344	0.1222843468
345	0.1219776194
346	0.1215915984
347	0.1210685991
348	0.1206554833
349	0.1202139877
350	0.1198555257
351	0.1194577659
352	0.1190843326
353	0.1186973337
354	0.1181926562
355	0.1178422307
356	0.1173830749
357	0.1170560926
358	0.1164167684
359	0.1160338711
360	0.1154229761
361	0.1149654124
362	0.1145838666
363	0.1141162973
364	0.1139464143
365	0.1136806614
366	0.1133099866
367	0.1129334769
368	0.112333973
369	0.1119020328
370	0.1114525318
371	0.1109354238
372	0.1105093721
373	0.1100604959
374	0.1096743231
375	0.1094121642
376	0.1090132318
377	0.1087098836
378	0.108326509
379	0.1079605153
380	0.1077481463
381	0.1073731265
382	0.1070712368
383	0.10664302
384	0.1063806178
385	0.1061591826
386	0.1058351588
387	0.1055094531
388	0.1053194631
389	0.1049489386
390	0.1045435777
391	0.1040743324
392	0.103544739
393	0.1031881543
394	0.1027796164
395	0.1023652115
396	0.1021785005
397	0.10193476
398	0.1015457969
399	0.1011678713
400	0.1008754741
401	0.1005099078
402	0.1004489863
403	0.1001275386
404	0.09975184559
405	0.09921816899
406	0.09892078351
407	0.09859435322
408	0.09843363549
409	0.09813811575
410	0.09775071838
411	0.09747060118
412	0.09709412118
413	0.09689040955
414	0.09655665713
415	0.09624246264
416	0.09613194608
417	0.09567863173
418	0.09536926792
419	0.0951709778
420	0.09497662592
421	0.0946885054
422	0.09430796802
423	0.09404048572
424	0.09380533856
425	0.09333007363
426	0.09317255498
427	0.09295373043
428	0.09267811034
429	0.09250015497
430	0.09211707124
431	0.09179013197
432	0.09149079738
433	0.09126870169
434	0.09090740183
435	0.0904997068
436	0.09019661571
437	0.08994333582
438	0.08972136617
439	0.08955494216
440	0.08926015895
441	0.08907569712
442	0.08893172683
443	0.08863209058
444	0.08832215771
445	0.08796598509
446	0.08780181704
447	0.08749550829
448	0.08731634118
449	0.08711898669
450	0.08696260378
451	0.08661392542
452	0.08641565427
453	0.08624565819
454	0.08595078526
455	0.08576405653
456	0.0854913088
457	0.08518987687
458	0.08490955345
459	0.08466676762
460	0.08448830082
461	0.084317453
462	0.08408103411
463	0.08386193792
464	0.08368022848
465	0.08348928277
466	0.08325326728
467	0.08302195309
468	0.08276609349
469	0.08252325478
470	0.08217055635
471	0.08197477884
472	0.08171152817
473	0.0815935919
474	0.08139884017
475	0.08123667989
476	0.08110950516
477	0.08087884461
478	0.0806742436
479	0.08049387573
480	0.08030077612
481	0.0801420889
482	0.0799718986
483	0.07974207005
484	0.07955394243
485	0.07928494163
486	0.07902881513
487	0.07882096729
488	0.07850360133
489	0.07827927214
490	0.07805363329
491	0.07794935944
492	0.07765071709
493	0.07743264723
494	0.07713812155
495	0.07685289227
496	0.07658040614
497	0.07645377569
498	0.07619792228
499	0.07600870977
500	0.07584918175
501	0.07564408011
502	0.07552918517
503	0.07537778699
504	0.07510368209
505	0.07491490218
506	0.07468457405
507	0.07452961447
508	0.07441415738
509	0.07423197677
510	0.07405672655
511	0.07391170899
512	0.07378485821
513	0.07371927151
514	0.07345724964
515	0.07332087591
516	0.07315924065
517	0.07300971963
518	0.07284581899
519	0.07271936966
520	0.07255251717
521	0.07237678801
522	0.07217135775
523	0.07206148391
524	0.07194138281
525	0.07177029604
526	0.07159549481
527	0.07132115837
528	0.07112436191
529	0.07097755833
530	0.07081963296
531	0.07064723126
532	0.07046340389
533	0.07024891784
534	0.07004933136
535	0.06984921376
536	0.06971109346
537	0.06958848014
538	0.06945789331
539	0.06931937549
540	0.06914803692
541	0.06897218956
542	0.06888013018
543	0.06875314082
544	0.06865884115
545	0.06849270522
546	0.06834530438
547	0.06812384425
548	0.06800253236
549	0.06782587104
550	0.06773053875
551	0.06754976425
552	0.0674058578
553	0.0672588773
554	0.06711920194
555	0.06691474848
556	0.0668206756
557	0.06666876751
558	0.06648288556
559	0.06630203501
560	0.0661561753
561	0.06592899023
562	0.06578403847
563	0.06562316748
564	0.06544453567
565	0.06528072288
566	0.06514017689
567	0.06500636211
568	0.06490688602
569	0.06480516439
570	0.06461079192
571	0.06454666348
572	0.06438312985
573	0.06417421121
574	0.06398092241
575	0.06385969239
576	0.06368646656
577	0.06355490039
578	0.06341904173
579	0.06327419436
580	0.06312236534
581	0.06297928519
582	0.06286946402
583	0.06277567079
584	0.06260015736
585	0.06249949128
586	0.0624047954
587	0.06231615845
588	0.06216241089
589	0.06206972866
590	0.06195160224
591	0.06185883715
592	0.06171511921
593	0.06160963096
594	0.0614869074
595	0.06136850207
596	0.06119894326
597	0.06112692259
598	0.06101490693
599	0.06087041818
600	0.06075341248
601	0.06066218542
602	0.06058750208
603	0.06042582113
604	0.06032045401
605	0.060153705
606	0.06003506654
607	0.05985087414
608	0.05976675361
609	0.05970637614
610	0.05955946856
611	0.05941701114
612	0.05933215835
613	0.05916589418
614	0.05906712575
615	0.0589921789
616	0.05885469978
617	0.05872624006
618	0.05855061073
619	0.05844241527
620	0.05832284819
621	0.05816866667
622	0.05804073863
623	0.05784294675
624	0.05775951848
625	0.05765858017
626	0.05755772581
627	0.05749825838
628	0.05735742275
629	0.05713979242
630	0.05701386586
631	0.056850408
632	0.05673124143
633	0.0566231898
634	0.05655814001
635	0.05646550614
636	0.05641198502
637	0.05630369156
638	0.0562191253
639	0.05611254027
640	0.0559892024
641	0.05591759389
642	0.05576274275
643	0.05567688716
644	0.05556240159
645	0.0554676138
646	0.05540129086
647	0.0552426093
648	0.05513779837
649	0.05498851009
650	0.05484607529
651	0.05470156524
652	0.05460490703
653	0.05451315788
654	0.05445170887
655	0.05435372984
656	0.05427033426
657	0.05414852047
658	0.05408173625
659	0.0540186502
660	0.05393572019
661	0.05384733938
662	0.05377000373
663	0.05368201378
664	0.05359558098
665	0.0534588582
666	0.05336403524
667	0.05324968599
668	0.05319547123
669	0.05310880119
670	0.05296957323
671	0.05289659466
672	0.05280801325
673	0.05270285695
674	0.05262318117
675	0.05256930069
676	0.05247440344
677	0.05239308341
678	0.05229607358
679	0.05220323061
680	0.05213857981
681	0.05205841012
682	0.05196831513
683	0.05184299496
684	0.05177463844
685	0.05165695365
686	0.05159674569
687	0.05152292021
688	0.05144472152
689	0.05136828435
690	0.05126323258
691	0.05114936634
692	0.05107517465
693	0.05100415044
694	0.05090891803
695	0.05082369128
696	0.05071194317
697	0.05063919693
698	0.05058301213
699	0.05051108195
700	0.05039823784
701	0.05030589195
702	0.05022567053
703	0.05009580895
704	0.04999629155
705	0.04989234142
706	0.04980826653
707	0.04970834075
708	0.04965032155
709	0.04958478364
710	0.04951070612
711	0.04940924718
712	0.04932029015
713	0.04927706207
714	0.04918733456
715	0.04911009876
716	0.04901458478
717	0.04889499971
718	0.04875514032
719	0.04860250791
720	0.04849878183
721	0.04841375947
722	0.04832910968
723	0.04828815915
724	0.0481851556
725	0.04809250113
726	0.04802361618
727	0.04793279855
728	0.047811986
729	0.04773212879
730	0.04760797245
731	0.0475342333
732	0.04746814117
733	0.04741392418
734	0.04734034639
735	0.04729877668
736	0.04723037604
737	0.04706823657
738	0.04693654618
739	0.0468856323
740	0.04684323307
741	0.04678179227
742	0.046702121
743	0.04660879063
744	0.04654910936
745	0.04647392291
746	0.04639568092
747	0.04634613551
748	0.04625950804
749	0.0461705901
750	0.04605149649
751	0.04592457312
752	0.04585536885
753	0.04575007192
754	0.04571423594
755	0.04565143203
756	0.04558111313
757	0.04547937577
758	0.045396515
759	0.0453414251
760	0.04525087391
761	0.04518194747
762	0.04512762622
763	0.04507415791
764	0.04501654487
765	0.04492623059
766	0.04481706609
767	0.04473649551
768	0.04470965576
769	0.04465048626
770	0.04459121332
771	0.04451540821
772	0.04442097733
773	0.04435264055
774	0.04428409014
775	0.04420770981
776	0.04418670287
777	0.04411264384
778	0.04408459962
779	0.04402308264
780	0.04394965494
781	0.04388078957
782	0.04380468845
783	0.04376227609
784	0.04369212897
785	0.04363382159
786	0.04353311018
787	0.04347209706
788	0.04341429829
789	0.04334698887
790	0.04323379845
791	0.04315082133
792	0.04309077903
793	0.04303840766
794	0.0429521479
795	0.04288993668
796	0.04284225581
797	0.04274721978
798	0.04269997383
799	0.04265239138
800	0.04257140973
801	0.04250039346
802	0.04245641641
803	0.04237831309
804	0.04231642305
805	0.04223072721
806	0.04215466346
807	0.04209524065
808	0.04203978854
809	0.04197790062
810	0.04189632596
811	0.04181925192
812	0.04174561976
813	0.04169376537
814	0.04164889277
815	0.04160870068
816	0.04156518766
817	0.04144929971
818	0.04139548889
819	0.04133203646
820	0.04128124663
821	0.04118954435
822	0.04113699951
823	0.04108254551
824	0.04104833061
825	0.04099094914
826	0.04088960769
827	0.0407926467
828	0.0407382776
829	0.04068543808
830	0.04062988449
831	0.04058428656
832	0.04052809914
833	0.04047798566
834	0.04045864466
835	0.04038298673
836	0.04031269447
837	0.04025696833
838	0.04020491254
839	0.04014312444
840	0.04008553799
841	0.04003335422
842	0.03996030304
843	0.03990267728
844	0.03984370845
845	0.03979862599
846	0.03975918685
847	0.03970604977
848	0.03964233825
849	0.03960106515
850	0.03955913799
851	0.03950782317
852	0.03946947681
853	0.03941178664
854	0.03935984511
855	0.03931055941
856	0.03924818425
857	0.03921471537
858	0.03915619945
859	0.03909414334
860	0.03905580943
861	0.03899092311
862	0.03895060648
863	0.03891644171
864	0.03886021086
865	0.03880133512
866	0.03874686881
867	0.03869632503
868	0.03864236111
869	0.03860418988
870	0.0385180113
871	0.03844912283
872	0.03839066012
873	0.03835396915
874	0.03829082655
875	0.03824160024
876	0.03818881461
877	0.03812977619
878	0.03808119059
879	0.03803190165
880	0.03797107759
881	0.03790253115
882	0.03785592467
883	0.03780907954
884	0.03778190651
885	0.03773937364
886	0.0376791272
887	0.03763704902
888	0.03757041791
889	0.0375186486
890	0.03745407852
891	0.03740160903
892	0.03734268904
893	0.0372972487
894	0.03724216375
895	0.03720890018
896	0.03713807364
897	0.0370858394
898	0.03703689862
899	0.03699624864
900	0.03695273117
901	0.03689978364
902	0.03686006211
903	0.03682551074
904	0.03677750917
905	0.03673975643
906	0.0366926824
907	0.0366410703
908	0.03657685686
909	0.03653387013
910	0.03649735064
911	0.03645826717
912	0.03639670923
913	0.03632033268
914	0.03629358883
915	0.03624522732
916	0.03618857927
917	0.03611186237
918	0.03608048505
919	0.03603304828
920	0.0359717631
921	0.03593452141
922	0.03590090949
923	0.03582354747
924	0.0357792347
925	0.03571928027
926	0.03568440939
927	0.03562847513
928	0.03560652349
929	0.03556045195
930	0.03549839282
931	0.0354497912
932	0.03539914365
933	0.0353512421
934	0.03530016933
935	0.03527135758
936	0.03521334305
937	0.03515102769
938	0.03512689257
939	0.03505484669
940	0.03500758556
941	0.03496902588
942	0.03492097652
943	0.03487572741
944	0.03484045138
945	0.03479812424
946	0.03473456676
947	0.03466700048
948	0.03462405295
949	0.03459446536
950	0.0345246316
951	0.03445000428
952	0.03440590557
953	0.03434945965
954	0.03431878051
955	0.03427994541
956	0.03422832858
957	0.034172568
958	0.03413651054
959	0.03409500781
960	0.03405444168
961	0.03403319829
962	0.03398223805
963	0.03394669431
964	0.0338978385
965	0.03384502622
966	0.03379713256
967	0.03376320281
968	0.03370411305
969	0.03366260742
970	0.03363217091
971	0.03359594587
972	0.03357509309
973	0.03354147721
974	0.03350527877
975	0.03343490911
976	0.03341266002
977	0.03335994801
978	0.0333298775
979	0.03328155355
980	0.03324646186
981	0.03318333077
982	0.03315209497
983	0.0331208433
984	0.03305536387
985	0.03299434383
986	0.03294091273
987	0.03290778324
988	0.03284374976
989	0.03279611415
990	0.0327532741
991	0.03272228886
992	0.03268336582
993	0.03265330108
994	0.03261508082
995	0.03257802784
996	0.03252365475
997	0.03249024541
998	0.03247037613
999	0.03244484345
