iter	Passed	Remaining
401	17947	26697
402	17991	26652
403	18034	26604
404	18076	26556
405	18123	26515
406	18165	26467
407	18209	26421
408	18251	26373
409	18293	26324
410	18335	26277
411	18376	26227
412	18418	26177
413	18467	26139
414	18509	26091
415	18553	26046
416	18608	26015
417	18651	25969
418	18693	25921
419	18747	25888
420	18790	25842
421	18839	25804
422	18882	25756
423	18924	25708
424	18967	25662
425	19009	25613
426	19050	25564
427	19093	25517
428	19135	25469
429	19180	25424
430	19223	25378
431	19264	25328
432	19307	25282
433	19348	25233
434	19404	25204
435	19450	25161
436	19511	25136
437	19553	25089
438	19601	25048
439	19643	25001
440	19685	24952
441	19738	24919
442	19780	24870
443	19823	24823
444	19865	24775
445	19906	24727
446	19948	24678
447	20000	24643
448	20042	24595
449	20085	24548
450	20130	24504
451	20187	24475
452	20230	24428
453	20272	24381
454	20316	24334
455	20360	24289
456	20403	24242
457	20445	24194
458	20500	24163
459	20541	24114
460	20591	24074
461	20634	24028
462	20676	23980
463	20719	23934
464	20761	23886
465	20804	23840
466	20845	23791
467	20888	23744
468	20947	23716
469	20998	23679
470	21040	23631
471	21082	23583
472	21125	23537
473	21168	23490
474	21211	23444
475	21253	23396
476	21296	23350
477	21338	23303
478	21380	23255
479	21422	23207
480	21471	23168
481	21515	23122
482	21557	23075
483	21600	23028
484	21646	22984
485	21688	22937
486	21754	22915
487	21804	22876
488	21847	22830
489	21890	22784
490	21935	22739
491	21976	22691
492	22018	22643
493	22060	22596
494	22103	22550
495	22146	22504
496	22189	22457
497	22231	22410
498	22286	22375
499	22329	22329
500	22370	22281
501	22413	22234
502	22454	22187
503	22496	22139
504	22535	22089
505	22578	22043
506	22621	21997
507	22665	21951
508	22707	21904
509	22749	21857
510	22792	21811
511	22834	21764
512	22877	21718
513	22934	21684
514	22977	21638
515	23020	21593
516	23061	21544
517	23107	21501
518	23151	21456
519	23193	21409
520	23233	21360
521	23276	21314
522	23319	21268
523	23360	21220
524	23402	21173
525	23456	21137
526	23498	21091
527	23543	21046
528	23584	20998
529	23627	20953
530	23673	20909
531	23714	20861
532	23757	20815
533	23805	20774
534	23848	20727
535	23907	20695
536	23950	20649
537	23992	20603
538	24044	20565
539	24091	20522
540	24133	20475
541	24176	20429
542	24217	20382
543	24272	20345
544	24314	20298
545	24370	20264
546	24411	20216
547	24453	20169
548	24502	20129
549	24545	20082
550	24587	20035
551	24628	19988
552	24670	19941
553	24719	19900
554	24759	19852
555	24806	19809
556	24855	19768
557	24910	19731
558	24951	19684
559	24998	19641
560	25042	19596
561	25094	19557
562	25136	19510
563	25179	19465
564	25221	19418
565	25263	19371
566	25304	19324
567	25347	19278
568	25388	19231
569	25429	19183
570	25471	19136
571	25517	19093
572	25564	19050
573	25606	19004
574	25649	18958
575	25691	18911
576	25734	18865
577	25775	18818
578	25825	18778
579	25867	18731
580	25910	18685
581	25952	18639
582	25994	18592
583	26035	18546
584	26078	18499
585	26119	18453
586	26160	18406
587	26203	18359
588	26243	18312
589	26285	18265
590	26326	18218
591	26367	18172
592	26408	18125
593	26451	18079
594	26492	18032
595	26535	17987
596	26595	17953
597	26637	17906
598	26678	17860
599	26721	17814
600	26762	17767
601	26804	17721
602	26847	17675
603	26888	17629
604	26936	17586
605	26980	17541
606	27022	17495
607	27071	17454
608	27113	17408
609	27156	17362
610	27198	17315
611	27240	17270
612	27282	17224
613	27325	17178
614	27367	17132
615	27411	17087
616	27453	17041
617	27495	16995
618	27546	16955
619	27602	16917
620	27647	16873
621	27690	16827
622	27732	16781
623	27777	16737
624	27819	16691
625	27861	16645
626	27902	16599
627	27948	16555
628	27991	16510
629	28043	16469
630	28084	16423
631	28127	16377
632	28181	16338
633	28224	16293
634	28266	16247
635	28313	16204
636	28359	16160
637	28408	16118
638	28451	16073
639	28501	16032
640	28543	15986
641	28585	15939
642	28629	15895
643	28671	15849
644	28713	15803
645	28757	15758
646	28804	15715
647	28847	15670
648	28889	15624
649	28931	15578
650	28973	15532
651	29014	15486
652	29061	15443
653	29103	15397
654	29145	15351
655	29188	15306
656	29239	15265
657	29281	15219
658	29323	15173
659	29393	15142
660	29436	15096
661	29485	15054
662	29526	15007
663	29568	14962
664	29610	14916
665	29659	14874
666	29703	14829
667	29745	14783
668	29787	14737
669	29829	14692
670	29870	14645
671	29925	14606
672	29975	14564
673	30018	14519
674	30082	14484
675	30130	14441
676	30171	14395
677	30214	14349
678	30257	14304
679	30299	14258
680	30343	14213
681	30399	14174
682	30442	14129
683	30498	14089
684	30542	14045
685	30583	13998
686	30627	13953
687	30670	13908
688	30723	13867
689	30767	13822
690	30809	13777
691	30862	13736
692	30904	13690
693	30950	13646
694	30992	13601
695	31055	13564
696	31098	13519
697	31140	13473
698	31183	13428
699	31224	13381
700	31266	13336
701	31309	13290
702	31351	13245
703	31404	13204
704	31450	13160
705	31495	13115
706	31537	13069
707	31577	13023
708	31637	12985
709	31681	12940
710	31724	12894
711	31766	12849
712	31807	12803
713	31850	12758
714	31892	12712
715	31935	12667
716	31978	12621
717	32020	12576
718	32076	12536
719	32119	12490
720	32162	12445
721	32203	12399
722	32247	12354
723	32289	12309
724	32331	12263
725	32374	12218
726	32414	12172
727	32469	12131
728	32516	12087
729	32563	12043
730	32622	12004
731	32669	11960
732	32719	11918
733	32761	11872
734	32804	11827
735	32845	11781
736	32886	11735
737	32942	11694
738	32993	11652
739	33035	11607
740	33078	11561
741	33129	11519
742	33170	11473
743	33213	11428
744	33257	11383
745	33298	11337
746	33343	11292
747	33385	11247
748	33427	11201
749	33469	11156
750	33513	11111
751	33556	11066
752	33599	11021
753	33641	10975
754	33695	10934
755	33738	10889
756	33788	10846
757	33829	10800
758	33871	10754
759	33910	10708
760	33953	10663
761	33994	10617
762	34035	10571
763	34076	10526
764	34126	10483
765	34169	10438
766	34209	10392
767	34251	10346
768	34293	10301
769	34336	10256
770	34377	10210
771	34421	10165
772	34466	10121
773	34509	10076
774	34550	10030
775	34605	9989
776	34646	9943
777	34691	9899
778	34734	9853
779	34790	9812
780	34835	9768
781	34876	9722
782	34918	9677
783	34959	9631
784	35003	9587
785	35045	9541
786	35087	9496
787	35129	9451
788	35172	9406
789	35217	9361
790	35277	9320
791	35321	9276
792	35366	9231
793	35408	9186
794	35452	9141
795	35493	9096
796	35535	9051
797	35584	9007
798	35638	8965
799	35681	8920
800	35722	8874
801	35766	8830
802	35809	8785
803	35851	8740
804	35893	8694
805	35934	8649
806	35984	8605
807	36024	8560
808	36068	8515
809	36110	8470
810	36150	8424
811	36193	8379
812	36248	8337
813	36290	8292
814	36333	8247
815	36383	8204
816	36425	8159
817	36469	8114
818	36510	8068
819	36567	8027
820	36608	7981
821	36650	7936
822	36691	7891
823	36735	7846
824	36776	7801
825	36833	7759
826	36876	7714
827	36918	7669
828	36961	7624
829	37004	7579
830	37047	7534
831	37088	7488
832	37128	7443
833	37171	7398
834	37213	7353
835	37256	7308
836	37298	7263
837	37350	7220
838	37397	7176
839	37439	7131
840	37485	7087
841	37526	7041
842	37570	6997
843	37612	6952
844	37653	6906
845	37696	6862
846	37747	6818
847	37795	6774
848	37838	6729
849	37880	6684
850	37922	6639
851	37963	6594
852	38006	6549
853	38048	6504
854	38088	6459
855	38133	6414
856	38183	6371
857	38228	6326
858	38290	6285
859	38332	6240
860	38373	6195
861	38415	6150
862	38456	6104
863	38497	6059
864	38538	6014
865	38583	5970
866	38642	5927
867	38699	5885
868	38741	5840
869	38783	5795
870	38825	5750
871	38868	5705
872	38909	5660
873	38955	5616
874	38998	5571
875	39041	5526
876	39089	5482
877	39130	5437
878	39172	5392
879	39223	5348
880	39273	5304
881	39315	5259
882	39367	5216
883	39410	5171
884	39453	5126
885	39496	5081
886	39538	5037
887	39580	4992
888	39623	4947
889	39664	4902
890	39711	4858
891	39754	4813
892	39796	4768
893	39838	4723
894	39881	4678
895	39924	4634
896	39966	4589
897	40007	4544
898	40050	4499
899	40092	4454
900	40134	4409
901	40191	4366
902	40233	4321
903	40275	4276
904	40319	4232
905	40361	4187
906	40404	4142
907	40446	4098
908	40486	4053
909	40528	4008
910	40571	3963
911	40617	3919
912	40666	3875
913	40710	3830
914	40752	3785
915	40795	3741
916	40837	3696
917	40896	3653
918	40939	3608
919	40988	3564
920	41046	3520
921	41089	3476
922	41133	3431
923	41175	3386
924	41233	3343
925	41276	3298
926	41319	3253
927	41363	3209
928	41406	3164
929	41448	3119
930	41490	3075
931	41532	3030
932	41575	2985
933	41637	2942
934	41680	2897
935	41732	2853
936	41779	2809
937	41822	2764
938	41863	2719
939	41903	2674
940	41948	2630
941	41990	2585
942	42035	2540
943	42079	2496
944	42123	2451
945	42180	2407
946	42233	2363
947	42276	2318
948	42319	2274
949	42363	2229
950	42407	2185
951	42450	2140
952	42492	2095
953	42534	2050
954	42579	2006
955	42634	1962
956	42676	1917
957	42723	1873
958	42767	1828
959	42809	1783
960	42852	1739
961	42894	1694
962	42947	1650
963	42989	1605
964	43040	1561
965	43091	1516
966	43132	1471
967	43183	1427
968	43226	1382
969	43269	1338
970	43311	1293
971	43354	1248
972	43415	1204
973	43473	1160
974	43531	1116
975	43578	1071
976	43631	1027
977	43674	982
978	43717	937
979	43779	893
980	43827	848
981	43881	804
982	43946	760
983	43989	715
984	44032	670
985	44075	625
986	44116	581
987	44158	536
988	44199	491
989	44255	447
990	44307	402
991	44348	357
992	44392	312
993	44433	268
994	44475	223
995	44519	178
996	44569	134
997	44611	89
998	44655	44
999	44699	0
