DriverPointsPerRace,TeamPointsPerRace,GridPosition,FinishPosition,PitStops,Stint1Length,Stint1Compound,Stint2Length,Stint2Compound,Stint3Length,Stint3Compound,Stint4Length,Stint4Compound,Laps,LengthKM,TurnCount,DrsZones,PitLaneLengthM,DegradationLevel,StreetCircuit,AvgTrackTemp,AvgAirTemp,AvgHumidity,RainfallMM,SafetyCarLaps,Score
7.5,32.5,2.0,3.0,1,46,C2,9,C1,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,12
16.5,27.5,4.0,4.0,1,45,C2,10,C1,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,12
4.0,10.0,5.0,5.0,1,45,C4,10,C2,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,10
7.0,7.5,7.0,6.0,1,45,C4,10,C2,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,10
8.0,11.0,13.0,7.0,1,46,C2,9,C1,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,12
25.0,32.5,1.0,8.0,1,44,C2,10,C1,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,-17
0.5,7.5,9.0,9.0,1,45,C4,10,C2,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,2
5.0,5.0,11.0,10.0,1,45,C2,10,C1,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,2
0.5,0.5,12.0,11.0,1,45,C2,10,C4,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,0
0.0,0.5,8.0,12.0,1,45,C4,10,C2,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,-4
3.0,11.0,14.0,13.0,1,45,C2,10,C1,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,0
0.0,0.0,18.0,14.0,1,45,C2,10,C1,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,0
0.0,0.0,16.0,15.0,1,45,C2,10,C2,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,0
1.0,1.0,20.0,16.0,1,45,C2,10,C1,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,0
0.0,5.0,10.0,17.0,1,45,C4,10,C4,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,-1
6.0,6.0,17.0,18.0,1,45,C1,10,C4,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,0
0.0,1.0,19.0,19.0,1,45,C2,10,C1,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,0
15.0,28.333333333333332,2.0,1.0,2,21,C3,18,C2,11,C4,0,,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13,32
10.0,28.0,6.0,2.0,1,39,C2,11,C4,0,,0,,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13,28
0.0,0.3333333333333333,8.0,3.0,2,1,C4,38,C2,11,C3,0,,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13,26
18.0,28.0,1.0,4.0,2,28,C3,10,C2,11,C4,0,,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13,-1
1.0,8.333333333333334,9.0,5.0,2,14,C4,25,C2,11,C4,0,,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13,18
0.0,0.6666666666666666,13.0,6.0,2,23,C3,16,C2,11,C4,0,,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13,16
7.333333333333333,9.333333333333334,12.0,7.0,1,39,C2,11,C4,0,,0,,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13,12
0.0,0.0,10.0,8.0,2,22,C3,17,C2,11,C4,0,,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13,7
2.0,9.333333333333334,16.0,9.0,4,16,C3,8,C2,14,C4,7,C4,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13,4
0.0,4.0,19.0,10.0,2,21,C4,17,C3,12,C4,0,,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13,2
0.6666666666666666,0.6666666666666666,18.0,11.0,3,17,C2,18,C4,3,C4,12,C4,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13,0
4.0,4.0,17.0,12.0,2,11,C4,27,C2,12,C4,0,,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13,0
3.6666666666666665,3.6666666666666665,15.0,13.0,1,38,C2,12,C4,0,,0,,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13,0
17.5,27.5,1.0,1.0,1,23,C2,41,C1,0,,0,,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8,25
10.0,27.5,2.0,2.0,1,18,C2,47,C1,0,,0,,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8,18
4.5,13.75,5.0,3.0,1,33,C2,32,C1,0,,0,,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8,20
16.5,28.5,3.0,4.0,2,16,C2,24,C1,25,C1,0,,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8,9
9.25,13.75,6.0,5.0,1,32,C2,33,C1,0,,0,,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8,12
2.75,2.75,7.0,6.0,1,31,C2,33,C1,0,,0,,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8,10
3.25,8.75,9.0,7.0,1,24,C2,40,C1,0,,0,,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8,10
7.0,9.0,8.0,8.0,1,20,C3,44,C1,0,,0,,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8,4
3.75,4.0,15.0,9.0,2,25,C2,14,C1,24,C2,0,,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8,4
2.0,2.5,14.0,10.0,1,19,C2,44,C1,0,,0,,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8,2
1.0,1.0,18.0,11.0,1,19,C2,44,C1,0,,0,,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8,0
