DriverPointsPerRace,TeamPointsPerRace,GridPosition,FinishPosition,PitStops,Stint1Length,Stint1Compound,Stint2Length,Stint2Compound,Stint3Length,Stint3Compound,Stint4Length,Stint4Compound,Laps,LengthKM,TurnCount,DrsZones,PitLaneLengthM,DegradationLevel,StreetCircuit,AvgTrackTemp,AvgAirTemp,AvgHumidity,RainfallMM,SafetyCarLaps,Score
0.0,0.0,20.0,11.0,2,16,C3,10,C2,27,C3,0,,53,5.793,11,2,417,Low,False,41.201398601398594,28.090909090909093,40.12447552447553,0.0,6,0
0.0,0.14285714285714285,16.0,12.0,2,22,C3,4,C2,27,C2,0,,53,5.793,11,2,417,Low,False,41.201398601398594,28.090909090909093,40.12447552447553,0.0,6,0
0.0,0.2857142857142857,14.0,13.0,2,18,C3,8,C2,27,C4,0,,53,5.793,11,2,417,Low,False,41.201398601398594,28.090909090909093,40.12447552447553,0.0,6,0
0.0,0.0,19.0,14.0,2,22,C3,4,C2,27,C3,0,,53,5.793,11,2,417,Low,False,41.201398601398594,28.090909090909093,40.12447552447553,0.0,6,0
6.857142857142857,22.571428571428573,9.0,15.0,2,22,C4,4,C3,27,C2,0,,53,5.793,11,2,417,Low,False,41.201398601398594,28.090909090909093,40.12447552447553,0.0,6,-2
0.2857142857142857,0.2857142857142857,18.0,16.0,3,20,C3,6,C2,4,C4,23,C4,53,5.793,11,2,417,Low,False,41.201398601398594,28.090909090909093,40.12447552447553,0.0,6,0
20.5,35.125,1.0,1.0,5,7,C3,1,C3,24,C2,12,C1,59,5.245,15,1,389,Medium,False,43.10227272727273,30.169886363636362,39.94431818181818,0.0,11,25
14.625,35.125,2.0,2.0,5,7,C3,1,C3,23,C2,12,C1,59,5.245,15,1,389,Medium,False,43.10227272727273,30.169886363636362,39.94431818181818,0.0,11,18
6.0,19.75,4.0,3.0,5,7,C3,1,C3,24,C3,11,C2,59,5.245,15,1,389,Medium,False,43.10227272727273,30.169886363636362,39.94431818181818,0.0,11,18
5.125,8.875,8.0,4.0,5,7,C3,1,C3,19,C3,16,C2,59,5.245,15,1,389,Medium,False,43.10227272727273,30.169886363636362,39.94431818181818,0.0,11,20
4.25,10.25,7.0,5.0,5,7,C3,1,C3,20,C3,15,C2,59,5.245,15,1,389,Medium,False,43.10227272727273,30.169886363636362,39.94431818181818,0.0,11,14
7.125,12.25,11.0,6.0,5,7,C3,1,C3,21,C3,14,C2,59,5.245,15,1,389,Medium,False,43.10227272727273,30.169886363636362,39.94431818181818,0.0,11,16
0.5,5.875,12.0,7.0,5,7,C2,1,C2,21,C3,14,C2,59,5.245,15,1,389,Medium,False,43.10227272727273,30.169886363636362,39.94431818181818,0.0,11,12
5.625,7.625,5.0,8.0,5,7,C3,1,C3,13,C3,16,C1,59,5.245,15,1,389,Medium,False,43.10227272727273,30.169886363636362,39.94431818181818,0.0,11,-2
0.0,0.25,13.0,9.0,6,1,C2,6,C2,1,C2,19,C2,59,5.245,15,1,389,Medium,False,43.10227272727273,30.169886363636362,39.94431818181818,0.0,11,4
2.0,7.625,14.0,10.0,6,1,C3,6,C2,1,C2,20,C3,59,5.245,15,1,389,Medium,False,43.10227272727273,30.169886363636362,39.94431818181818,0.0,11,2
0.0,0.0,18.0,11.0,5,7,C2,1,C2,21,C2,14,C1,59,5.245,15,1,389,Medium,False,43.10227272727273,30.169886363636362,39.94431818181818,0.0,11,0
0.0,0.125,15.0,12.0,5,7,C2,1,C1,20,C3,14,C1,59,5.245,15,1,389,Medium,False,43.10227272727273,30.169886363636362,39.94431818181818,0.0,11,0
15.0,36.111111111111114,3.0,1.0,1,26,C4,27,C3,0,,0,,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,35
12.222222222222221,19.22222222222222,2.0,2.0,1,25,C4,28,C3,0,,0,,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,18
21.11111111111111,36.111111111111114,1.0,3.0,1,16,C5,37,C3,0,,0,,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,5
4.888888888888889,10.222222222222221,4.0,4.0,1,20,C5,33,C3,0,,0,,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,12
5.888888888888889,9.222222222222221,5.0,5.0,1,15,C5,38,C3,0,,0,,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,10
5.444444444444445,7.333333333333333,10.0,6.0,1,28,C4,25,C3,0,,0,,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,15
3.3333333333333335,9.222222222222221,7.0,7.0,1,18,C5,35,C3,0,,0,,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,6
1.1111111111111112,5.888888888888889,11.0,8.0,1,30,C3,23,C4,0,,0,,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,8
4.777777777777778,5.888888888888889,9.0,9.0,2,18,C5,24,C3,11,C4,0,,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,2
7.0,19.22222222222222,15.0,10.0,2,1,C5,26,C3,26,C4,0,,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,2
0.2222222222222222,0.4444444444444444,17.0,11.0,1,16,C4,36,C3,0,,0,,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,0
0.1111111111111111,0.1111111111111111,18.0,12.0,1,19,C4,33,C3,0,,0,,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,0
1.8888888888888888,7.333333333333333,14.0,13.0,1,30,C4,22,C3,0,,0,,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,0
0.2222222222222222,0.4444444444444444,19.0,14.0,1,35,C3,17,C4,0,,0,,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,0
7.222222222222222,11.777777777777779,8.0,15.0,2,1,C5,46,C3,5,C4,0,,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,-4
0.0,0.0,20.0,16.0,1,17,C4,35,C3,0,,0,,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,0
0.0,0.1111111111111111,16.0,17.0,2,17,C4,25,C3,10,C4,0,,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,0
0.0,0.0,13.0,18.0,3,1,C4,13,C3,36,C4,2,C5,53,5.848,18,2,418,Low,False,40.342424242424244,28.806060606060612,51.362878787878785,0.0,6,0
20.5,36.6,2.0,1.0,2,16,C4,29,C3,15,C4,0,,60,5.148,15,2,377,Low,False,16.360204081632652,9.499999999999998,59.40408163265305,0.02040816326530612,7,32
12.8,19.2,3.0,2.0,2,16,C4,29,C3,15,C4,0,,60,5.148,15,2,377,Low,False,16.360204081632652,9.499999999999998,59.40408163265305,0.02040816326530612,7,21
6.3,9.9,6.0,3.0,2,16,C4,28,C3,16,C4,0,,60,5.148,15,2,377,Low,False,16.360204081632652,9.499999999999998,59.40408163265305,0.02040816326530612,7,22
5.6,10.4,9.0,4.0,2,28,C4,17,C3,15,C4,0,,60,5.148,15,2,377,Low,False,16.360204081632652,9.499999999999998,59.40408163265305,0.02040816326530612,7,22
4.1,10.6,10.0,5.0,2,28,C4,16,C3,16,C4,0,,60,5.148,15,2,377,Low,False,16.360204081632652,9.499999999999998,59.40408163265305,0.02040816326530612,7,19
4.5,5.9,12.0,6.0,2,30,C3,14,C2,16,C4,0,,60,5.148,15,2,377,Low,False,16.360204081632652,9.499999999999998,59.40408163265305,0.02040816326530612,7,16
5.7,7.4,4.0,7.0,2,10,C4,25,C3,25,C3,0,,60,5.148,15,2,377,Low,False,16.360204081632652,9.499999999999998,59.40408163265305,0.02040816326530612,7,0
0.6,10.4,20.0,8.0,2,29,C4,15,C3,16,C4,0,,60,5.148,15,2,377,Low,False,16.360204081632652,9.499999999999998,59.40408163265305,0.02040816326530612,7,8
0.0,0.1,16.0,9.0,1,28,C3,32,C2,0,,0,,60,5.148,15,2,377,Low,False,16.360204081632652,9.499999999999998,59.40408163265305,0.02040816326530612,7,4
0.2,0.4,14.0,10.0,2,15,C4,21,C3,24,C3,0,,60,5.148,15,2,377,Low,False,16.360204081632652,9.499999999999998,59.40408163265305,0.02040816326530612,7,2
1.7,7.4,11.0,11.0,2,11,C3,30,C2,19,C4,0,,60,5.148,15,2,377,Low,False,16.360204081632652,9.499999999999998,59.40408163265305,0.02040816326530612,7,0
0.2,0.4,19.0,12.0,2,10,C4,34,C3,16,C4,0,,60,5.148,15,2,377,Low,False,16.360204081632652,9.499999999999998,59.40408163265305,0.02040816326530612,7,0
0.1,0.1,15.0,13.0,2,14,C4,20,C3,26,C3,0,,60,5.148,15,2,377,Low,False,16.360204081632652,9.499999999999998,59.40408163265305,0.02040816326530612,7,0
0.0,0.0,18.0,14.0,2,14,C4,19,C3,27,C3,0,,60,5.148,15,2,377,Low,False,16.360204081632652,9.499999999999998,59.40408163265305,0.02040816326530612,7,0
1.4,5.9,13.0,15.0,2,17,C3,27,C2,16,C4,0,,60,5.148,15,2,377,Low,False,16.360204081632652,9.499999999999998,59.40408163265305,0.02040816326530612,7,0
20.90909090909091,35.54545454545455,1.0,1.0,1,40,C2,26,C1,0,,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,25
14.636363636363637,35.54545454545455,2.0,2.0,1,41,C2,25,C1,0,,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,18
13.363636363636363,19.181818181818183,3.0,3.0,1,23,C3,43,C2,0,,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,15
5.7272727272727275,7.2727272727272725,4.0,4.0,1,34,C2,32,C1,0,,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,12
4.818181818181818,6.090909090909091,9.0,5.0,1,28,C3,37,C2,0,,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,18
4.636363636363637,10.545454545454545,7.0,6.0,1,26,C3,39,C2,0,,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,10
6.181818181818182,10.909090909090908,5.0,7.0,2,1,C3,44,C2,20,C3,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,2
3.272727272727273,10.363636363636363,11.0,8.0,1,53,C2,12,C3,0,,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,8
7.090909090909091,10.363636363636363,10.0,9.0,1,14,C3,51,C2,0,,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,3
1.5454545454545454,7.2727272727272725,15.0,10.0,1,27,C2,38,C1,0,,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,2
0.18181818181818182,0.45454545454545453,16.0,11.0,1,11,C3,54,C2,0,,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,0
5.818181818181818,19.181818181818183,6.0,12.0,2,19,C3,27,C2,19,C3,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,-8
5.909090909090909,10.545454545454545,8.0,13.0,2,18,C3,25,C1,22,C2,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,-4
0.0,0.0,14.0,14.0,1,36,C2,29,C1,0,,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,0
0.2727272727272727,0.45454545454545453,17.0,15.0,1,28,C2,37,C1,0,,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,0
0.09090909090909091,0.2727272727272727,19.0,16.0,1,31,C1,34,C2,0,,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,0
0.18181818181818182,0.2727272727272727,18.0,17.0,1,26,C2,39,C1,0,,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,0
0.0,0.0,20.0,18.0,1,24,C2,40,C1,0,,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,0
1.2727272727272727,6.090909090909091,13.0,19.0,2,25,C2,30,C1,9,C3,0,,66,4.653,15,2,472,Low,False,25.715625,20.50546875,67.528125,0.0,0,0
21.333333333333332,36.25,2.0,1.0,2,30,C3,22,C2,11,C4,0,,63,4.909,19,1,548,Medium,False,23.2608,18.0304,71.1368,0.0,9,32
14.916666666666666,36.25,1.0,2.0,2,19,C3,32,C2,12,C4,0,,63,4.909,19,1,548,Medium,False,23.2608,18.0304,71.1368,0.0,9,11
6.666666666666667,10.0,5.0,3.0,1,14,C4,49,C2,0,,0,,63,4.909,19,1,548,Medium,False,23.2608,18.0304,71.1368,0.0,9,20
1.1666666666666667,6.416666666666667,8.0,4.0,2,14,C4,37,C2,12,C4,0,,63,4.909,19,1,548,Medium,False,23.2608,18.0304,71.1368,0.0,9,20
6.25,7.75,7.0,5.0,1,13,C4,50,C2,0,,0,,63,4.909,19,1,548,Medium,False,23.2608,18.0304,71.1368,0.0,9,14
6.166666666666667,10.5,11.0,6.0,2,27,C3,24,C2,12,C4,0,,63,4.909,19,1,548,Medium,False,23.2608,18.0304,71.1368,0.0,9,16
4.916666666666667,10.333333333333334,10.0,7.0,2,17,C4,34,C3,12,C4,0,,63,4.909,19,1,548,Medium,False,23.2608,18.0304,71.1368,0.0,9,11
5.416666666666667,10.333333333333334,9.0,8.0,2,13,C4,40,C3,10,C4,0,,63,4.909,19,1,548,Medium,False,23.2608,18.0304,71.1368,0.0,9,6
0.16666666666666666,0.4166666666666667,18.0,9.0,1,48,C3,15,C4,0,,0,,63,4.909,19,1,548,Medium,False,23.2608,18.0304,71.1368,0.0,9,4
0.25,0.4166666666666667,20.0,10.0,1,10,C4,53,C3,0,,0,,63,4.909,19,1,548,Medium,False,23.2608,18.0304,71.1368,0.0,9,2
0.0,0.0,19.0,11.0,1,34,C3,29,C2,0,,0,,63,4.909,19,1,548,Medium,False,23.2608,18.0304,71.1368,0.0,9,0
1.5,7.75,14.0,12.0,2,39,C3,12,C2,12,C4,0,,63,4.909,19,1,548,Medium,False,23.2608,18.0304,71.1368,0.0,9,0
4.75,10.5,15.0,13.0,3,1,C3,28,C2,23,C3,11,C4,63,4.909,19,1,548,Medium,False,23.2608,18.0304,71.1368,0.0,9,0
0.16666666666666666,0.25,16.0,14.0,2,9,C3,41,C2,13,C4,0,,63,4.909,19,1,548,Medium,False,23.2608,18.0304,71.1368,0.0,9,0
5.333333333333333,18.833333333333332,6.0,15.0,2,14,C4,45,C2,4,C4,0,,63,4.909,19,1,548,Medium,False,23.2608,18.0304,71.1368,0.0,9,-8
21.692307692307693,36.84615384615385,6.0,1.0,1,8,W,50,I,0,,0,,58,5.338,14,2,385,Medium,False,15.205755395683456,13.09568345323741,80.1611510791367,0.04316546762589928,2,42
6.3076923076923075,10.307692307692308,3.0,2.0,1,10,W,48,I,0,,0,,58,5.338,14,2,385,Medium,False,15.205755395683456,13.09568345323741,80.1611510791367,0.04316546762589928,2,21
1.3846153846153846,7.923076923076923,11.0,3.0,2,8,W,25,I,25,I,0,,58,5.338,14,2,385,Medium,False,15.205755395683456,13.09568345323741,80.1611510791367,0.04316546762589928,2,30
6.538461538461538,7.923076923076923,12.0,4.0,2,6,W,24,I,28,I,0,,58,5.338,14,2,385,Medium,False,15.205755395683456,13.09568345323741,80.1611510791367,0.04316546762589928,2,24
5.0,10.307692307692308,15.0,5.0,2,10,W,23,I,25,I,0,,58,5.338,14,2,385,Medium,False,15.205755395683456,13.09568345323741,80.1611510791367,0.04316546762589928,2,20
12.461538461538462,17.384615384615383,2.0,6.0,3,11,W,7,I,25,I,15,I,58,5.338,14,2,385,Medium,False,15.205755395683456,13.09568345323741,80.1611510791367,0.04316546762589928,2,-2
4.923076923076923,17.384615384615383,4.0,7.0,2,12,W,22,I,24,I,0,,58,5.338,14,2,385,Medium,False,15.205755395683456,13.09568345323741,80.1611510791367,0.04316546762589928,2,0
5.3076923076923075,10.307692307692308,14.0,8.0,2,9,W,27,I,22,I,0,,58,5.338,14,2,385,Medium,False,15.205755395683456,13.09568345323741,80.1611510791367,0.04316546762589928,2,8
4.384615384615385,10.307692307692308,1.0,9.0,2,9,W,27,I,22,I,0,,58,5.338,14,2,385,Medium,False,15.205755395683456,13.09568345323741,80.1611510791367,0.04316546762589928,2,-21
7.3076923076923075,10.384615384615385,5.0,10.0,2,10,W,22,I,26,I,0,,58,5.338,14,2,385,Medium,False,15.205755395683456,13.09568345323741,80.1611510791367,0.04316546762589928,2,-8
3.076923076923077,10.384615384615385,7.0,11.0,2,1,W,9,W,47,I,0,,58,5.338,14,2,385,Medium,False,15.205755395683456,13.09568345323741,80.1611510791367,0.04316546762589928,2,-6
2.0,6.846153846153846,16.0,12.0,1,8,W,49,I,0,,0,,58,5.338,14,2,385,Medium,False,15.205755395683456,13.09568345323741,80.1611510791367,0.04316546762589928,2,0
4.846153846153846,6.846153846153846,19.0,13.0,2,10,W,23,I,24,I,0,,58,5.338,14,2,385,Medium,False,15.205755395683456,13.09568345323741,80.1611510791367,0.04316546762589928,2,0
15.153846153846153,36.84615384615385,9.0,14.0,2,7,W,39,I,11,I,0,,58,5.338,14,2,385,Medium,False,15.205755395683456,13.09568345323741,80.1611510791367,0.04316546762589928,2,-2
0.3076923076923077,0.6153846153846154,8.0,15.0,3,8,W,22,I,20,I,7,I,58,5.338,14,2,385,Medium,False,15.205755395683456,13.09568345323741,80.1611510791367,0.04316546762589928,2,-4
0.0,0.0,0.0,16.0,2,32,I,10,I,15,I,0,,58,5.338,14,2,385,Medium,False,15.205755395683456,13.09568345323741,80.1611510791367,0.04316546762589928,2,0
21.928571428571427,36.0,1.0,1.0,3,1,C3,18,C3,16,C3,22,C2,57,5.412,15,3,440,High,False,27.548148148148147,25.09907407407407,67.84722222222223,0.0,11,25
12.142857142857142,17.142857142857142,3.0,2.0,4,1,C3,19,C3,14,C2,12,C2,57,5.412,15,3,440,High,False,27.548148148148147,25.09907407407407,67.84722222222223,0.0,11,21
5.0,17.142857142857142,4.0,3.0,3,1,C3,18,C3,15,C3,23,C2,57,5.412,15,3,440,High,False,27.548148148148147,25.09907407407407,67.84722222222223,0.0,11,18
5.285714285714286,10.642857142857142,9.0,4.0,3,1,C3,17,C3,20,C3,19,C2,57,5.412,15,3,440,High,False,27.548148148148147,25.09907407407407,67.84722222222223,0.0,11,22
5.357142857142857,10.642857142857142,15.0,5.0,3,1,C4,20,C4,18,C3,18,C2,57,5.412,15,3,440,High,False,27.548148148148147,25.09907407407407,67.84722222222223,0.0,11,20
4.5,6.357142857142857,8.0,6.0,2,1,C3,24,C2,32,C2,0,,57,5.412,15,3,440,High,False,27.548148148148147,25.09907407407407,67.84722222222223,0.0,11,12
6.857142857142857,9.714285714285714,6.0,7.0,3,1,C3,15,C3,20,C2,21,C2,57,5.412,15,3,440,High,False,27.548148148148147,25.09907407407407,67.84722222222223,0.0,11,4
14.071428571428571,36.0,2.0,8.0,4,1,C3,3,C3,21,C2,13,C3,57,5.412,15,3,440,High,False,27.548148148148147,25.09907407407407,67.84722222222223,0.0,11,-10
2.857142857142857,9.714285714285714,7.0,9.0,3,1,C3,16,C3,17,C3,23,C2,57,5.412,15,3,440,High,False,27.548148148148147,25.09907407407407,67.84722222222223,0.0,11,-2
6.928571428571429,9.285714285714286,12.0,10.0,3,1,C2,22,C3,17,C2,16,C2,57,5.412,15,3,440,High,False,27.548148148148147,25.09907407407407,67.84722222222223,0.0,11,2
1.8571428571428572,6.357142857142857,10.0,11.0,3,1,C3,16,C4,16,C2,23,C2,57,5.412,15,3,440,High,False,27.548148148148147,25.09907407407407,67.84722222222223,0.0,11,-1
0.0,0.0,14.0,12.0,3,1,C3,19,C3,19,C2,17,C3,57,5.412,15,3,440,High,False,27.548148148148147,25.09907407407407,67.84722222222223,0.0,11,0
2.357142857142857,9.285714285714286,11.0,13.0,3,1,C3,19,C2,19,C3,17,C2,57,5.412,15,3,440,High,False,27.548148148148147,25.09907407407407,67.84722222222223,0.0,11,0
0.0,0.0,20.0,14.0,3,1,C2,20,C3,16,C3,19,C2,57,5.412,15,3,440,High,False,27.548148148148147,25.09907407407407,67.84722222222223,0.0,11,0
0.2857142857142857,0.5714285714285714,17.0,15.0,3,1,C3,16,C3,23,C2,16,C3,57,5.412,15,3,440,High,False,27.548148148148147,25.09907407407407,67.84722222222223,0.0,11,0
0.2857142857142857,0.5714285714285714,16.0,16.0,3,1,C3,19,C3,33,C2,3,C4,57,5.412,15,3,440,High,False,27.548148148148147,25.09907407407407,67.84722222222223,0.0,11,0
0.07142857142857142,0.21428571428571427,18.0,17.0,4,1,C3,2,C2,24,C2,26,C2,57,5.412,15,3,440,High,False,27.548148148148147,25.09907407407407,67.84722222222223,0.0,11,0
6.666666666666667,10.266666666666667,5.0,1.0,2,1,C4,46,C3,40,C2,0,,87,3.543,11,2,440,High,False,23.469291338582668,20.947244094488195,58.169291338582674,0.0,15,40
2.8,9.6,11.0,2.0,1,41,C3,46,C2,0,,0,,87,3.543,11,2,440,High,False,23.469291338582668,20.947244094488195,58.169291338582674,0.0,15,36
3.933333333333333,10.266666666666667,10.0,3.0,1,42,C4,45,C3,0,,0,,87,3.543,11,2,440,High,False,23.469291338582668,20.947244094488195,58.169291338582674,0.0,15,29
5.666666666666667,11.4,8.0,4.0,2,28,C4,27,C3,32,C3,0,,87,3.543,11,2,440,High,False,23.469291338582668,20.947244094488195,58.169291338582674,0.0,15,20
6.8,9.6,7.0,5.0,2,29,C4,26,C3,32,C2,0,,87,3.543,11,2,440,High,False,23.469291338582668,20.947244094488195,58.169291338582674,0.0,15,14
5.666666666666667,18.266666666666666,12.0,6.0,2,47,C3,15,C2,25,C4,0,,87,3.543,11,2,440,High,False,23.469291338582668,20.947244094488195,58.169291338582674,0.0,15,16
1.7333333333333334,6.466666666666667,6.0,7.0,2,27,C4,26,C3,34,C2,0,,87,3.543,11,2,440,High,False,23.469291338582668,20.947244094488195,58.169291338582674,0.0,15,4
13.4,35.53333333333333,1.0,8.0,2,49,C3,13,C2,25,C2,0,,87,3.543,11,2,440,High,False,23.469291338582668,20.947244094488195,58.169291338582674,0.0,15,-17
0.0,35.53333333333333,2.0,9.0,4,45,C3,17,C2,1,C3,15,C3,87,3.543,11,2,440,High,False,23.469291338582668,20.947244094488195,58.169291338582674,0.0,15,-14
5.733333333333333,11.4,19.0,10.0,2,20,C4,34,C3,33,C3,0,,87,3.543,11,2,440,High,False,23.469291338582668,20.947244094488195,58.169291338582674,0.0,15,2
4.733333333333333,6.466666666666667,9.0,11.0,2,28,C4,23,C3,36,C2,0,,87,3.543,11,2,440,High,False,23.469291338582668,20.947244094488195,58.169291338582674,0.0,15,-2
2.2,8.733333333333333,13.0,12.0,3,31,C3,23,C2,9,C4,24,C4,87,3.543,11,2,440,High,False,23.469291338582668,20.947244094488195,58.169291338582674,0.0,15,0
0.26666666666666666,0.5333333333333333,14.0,13.0,2,26,C3,28,C2,33,C3,0,,87,3.543,11,2,440,High,False,23.469291338582668,20.947244094488195,58.169291338582674,0.0,15,0
0.26666666666666666,0.5333333333333333,18.0,14.0,3,23,C3,31,C2,8,C3,25,C4,87,3.543,11,2,440,High,False,23.469291338582668,20.947244094488195,58.169291338582674,0.0,15,0
0.06666666666666667,0.2,15.0,15.0,2,26,C4,28,C3,33,C4,0,,87,3.543,11,2,440,High,False,23.469291338582668,20.947244094488195,58.169291338582674,0.0,15,0
0.0,0.0,17.0,16.0,3,31,C3,23,C2,5,C3,28,C4,87,3.543,11,2,440,High,False,23.469291338582668,20.947244094488195,58.169291338582674,0.0,15,0
0.0,0.2,20.0,17.0,3,31,C4,22,C3,10,C4,24,C4,87,3.543,11,2,440,High,False,23.469291338582668,20.947244094488195,58.169291338582674,0.0,15,0
11.8125,17.625,1.0,1.0,1,10,C4,45,C3,0,,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,25
12.8125,33.75,2.0,2.0,1,10,C4,45,C3,0,,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,18
20.75,33.75,3.0,3.0,1,10,C4,45,C3,0,,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,15
5.8125,17.625,5.0,4.0,1,10,C5,45,C3,0,,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,14
5.4375,11.5,4.0,5.0,1,10,C5,45,C3,0,,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,8
6.0625,11.5,6.0,6.0,1,10,C4,45,C3,0,,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,8
7.0,10.75,11.0,7.0,1,39,C3,16,C4,0,,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,12
4.4375,6.4375,9.0,8.0,1,10,C5,45,C3,0,,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,6
3.75,10.75,10.0,9.0,1,10,C4,45,C3,0,,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,3
4.625,12.125,8.0,10.0,1,10,C5,45,C3,0,,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,-2
2.0,6.4375,7.0,11.0,1,10,C5,44,C3,0,,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,-6
0.25,0.5,15.0,12.0,1,10,C4,44,C3,0,,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,0
6.125,8.1875,12.0,13.0,1,22,C4,32,C3,0,,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,0
2.0625,8.1875,13.0,14.0,1,35,C3,19,C4,0,,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,0
0.1875,0.0,16.0,15.0,1,10,C4,44,C3,0,,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,0
0.25,0.5,14.0,16.0,1,27,C4,27,C3,0,,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,0
0.0,0.0,18.0,17.0,2,11,C4,24,C3,19,C4,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,0
0.0625,0.1875,20.0,18.0,2,31,C3,16,C4,7,C4,0,,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,0
0.0,0.1875,17.0,19.0,3,10,C4,24,C3,14,C4,5,C5,55,5.554,16,2,630,Medium,False,27.98,23.121481481481478,55.44666666666667,0.0,4,0
20.41176470588235,33.705882352941174,2.0,1.0,2,13,C3,15,C2,28,C2,0,,57,5.412,15,3,440,High,False,27.627819548872182,20.53834586466165,54.517293233082704,0.0,5,32
12.588235294117647,18.764705882352942,1.0,2.0,2,17,C3,22,C3,17,C2,0,,57,5.412,15,3,440,High,False,27.627819548872182,20.53834586466165,54.517293233082704,0.0,5,11
