Season,Round,Driver,Points
2018,11,STR,4.0
2018,11,HAR,2.0
2018,11,SIR,0.0
2018,12,HAM,213.0
2018,12,VET,189.0
2018,12,RAI,146.0
2018,12,BOT,132.0
2018,12,RIC,118.0
2018,12,VER,105.0
2018,12,HUL,52.0
2018,12,MAG,45.0
2018,12,ALO,44.0
2018,12,SAI,30.0
2018,12,PER,30.0
2018,12,OCO,29.0
2018,12,GAS,26.0
2018,12,GRO,21.0
2018,12,LEC,13.0
2018,12,VAN,8.0
2018,12,ERI,5.0
2018,12,STR,4.0
2018,12,HAR,2.0
2018,12,SIR,0.0
2018,13,HAM,231.0
2018,13,VET,214.0
2018,13,RAI,146.0
2018,13,BOT,144.0
2018,13,VER,120.0
2018,13,RIC,118.0
2018,13,HUL,52.0
2018,13,MAG,49.0
2018,13,ALO,44.0
2018,13,PER,40.0
2018,13,OCO,37.0
2018,13,SAI,30.0
2018,13,GAS,28.0
2018,13,GRO,27.0
2018,13,LEC,13.0
2018,13,VAN,8.0
2018,13,ERI,6.0
2018,13,STR,4.0
2018,13,HAR,2.0
2018,13,SIR,0.0
2018,14,HAM,256.0
2018,14,VET,226.0
2018,14,RAI,164.0
2018,14,BOT,159.0
2018,14,VER,130.0
2018,14,RIC,118.0
2018,14,HUL,52.0
2018,14,MAG,49.0
2018,14,PER,46.0
2018,14,OCO,45.0
2018,14,ALO,44.0
2018,14,SAI,34.0
2018,14,GAS,28.0
2018,14,GRO,27.0
2018,14,LEC,13.0
2018,14,VAN,8.0
2018,14,STR,6.0
2018,14,ERI,6.0
2018,14,HAR,2.0
2018,14,SIR,1.0
2018,15,HAM,281.0
2018,15,VET,241.0
2018,15,RAI,174.0
2018,15,BOT,171.0
2018,15,VER,148.0
2018,15,RIC,126.0
2018,15,HUL,53.0
2018,15,ALO,50.0
2018,15,MAG,49.0
2018,15,PER,46.0
2018,15,OCO,45.0
2018,15,SAI,38.0
2018,15,GAS,28.0
2018,15,GRO,27.0
2018,15,LEC,15.0
2018,15,VAN,8.0
2018,15,STR,6.0
2018,15,ERI,6.0
2018,15,HAR,2.0
2018,15,SIR,1.0
2018,16,HAM,306.0
2018,16,VET,256.0
2018,16,BOT,189.0
2018,16,RAI,186.0
2018,16,VER,158.0
2018,16,RIC,134.0
2018,16,HUL,53.0
2018,16,MAG,53.0
2018,16,ALO,50.0
2018,16,PER,47.0
2018,16,OCO,47.0
2018,16,SAI,38.0
2018,16,GAS,28.0
2018,16,GRO,27.0
2018,16,LEC,21.0
2018,16,VAN,8.0
2018,16,STR,6.0
2018,16,ERI,6.0
2018,16,HAR,2.0
2018,16,SIR,1.0
2018,17,HAM,331.0
2018,17,VET,264.0
2018,17,BOT,207.0
2018,17,RAI,196.0
2018,17,VER,173.0
2018,17,RIC,146.0
2018,17,HUL,53.0
2018,17,PER,53.0
2018,17,MAG,53.0
2018,17,ALO,50.0
2018,17,OCO,49.0
2018,17,SAI,39.0
2018,17,GRO,31.0
2018,17,GAS,28.0
2018,17,LEC,21.0
2018,17,VAN,8.0
2018,17,STR,6.0
2018,17,ERI,6.0
2018,17,HAR,2.0
2018,17,SIR,1.0
2018,18,HAM,346.0
2018,18,VET,276.0
2018,18,RAI,221.0
2018,18,BOT,217.0
2018,18,VER,191.0
2018,18,RIC,146.0
2018,18,HUL,61.0
2018,18,PER,57.0
2018,18,MAG,53.0
2018,18,ALO,50.0
2018,18,OCO,49.0
2018,18,SAI,45.0
2018,18,GRO,31.0
2018,18,GAS,28.0
2018,18,LEC,21.0
2018,18,VAN,8.0
2018,18,ERI,7.0
2018,18,STR,6.0
2018,18,HAR,4.0
2018,18,SIR,1.0
2018,19,HAM,358.0
2018,19,VET,294.0
2018,19,RAI,236.0
2018,19,BOT,227.0
2018,19,VER,216.0
2018,19,RIC,146.0
2018,19,HUL,69.0
2018,19,PER,57.0
2018,19,MAG,53.0
2018,19,ALO,50.0
2018,19,OCO,49.0
2018,19,SAI,45.0
2018,19,GRO,31.0
2018,19,GAS,29.0
2018,19,LEC,27.0
2018,19,VAN,12.0
2018,19,ERI,9.0
2018,19,STR,6.0
2018,19,HAR,4.0
2018,19,SIR,1.0
2018,20,HAM,383.0
2018,20,VET,302.0
2018,20,RAI,251.0
2018,20,BOT,237.0
2018,20,VER,234.0
2018,20,RIC,158.0
2018,20,HUL,69.0
2018,20,PER,58.0
2018,20,MAG,55.0
2018,20,ALO,50.0
2018,20,OCO,49.0
2018,20,SAI,45.0
2018,20,GRO,35.0
2018,20,LEC,33.0
2018,20,GAS,29.0
2018,20,VAN,12.0
2018,20,ERI,9.0
2018,20,STR,6.0
2018,20,HAR,4.0
2018,20,SIR,1.0
2018,21,HAM,408.0
2018,21,VET,320.0
2018,21,RAI,251.0
2018,21,VER,249.0
2018,21,BOT,247.0
2018,21,RIC,170.0
2018,21,HUL,69.0
2018,21,PER,62.0
2018,21,MAG,56.0
2018,21,SAI,53.0
2018,21,ALO,50.0
2018,21,OCO,49.0
2018,21,LEC,39.0
2018,21,GRO,37.0
2018,21,GAS,29.0
2018,21,VAN,12.0
2018,21,ERI,9.0
2018,21,STR,6.0
2018,21,HAR,4.0
2018,21,SIR,1.0
2019,1,BOT,26.0
2019,1,HAM,18.0
2019,1,VER,15.0
2019,1,VET,12.0
2019,1,LEC,10.0
2019,1,MAG,8.0
2019,1,HUL,6.0
2019,1,RAI,4.0
2019,1,STR,2.0
2019,1,KVY,1.0
2019,1,GAS,0.0
2019,1,NOR,0.0
2019,1,PER,0.0
2019,1,ALB,0.0
2019,1,GIO,0.0
2019,1,RUS,0.0
2019,1,KUB,0.0
2019,1,GRO,0.0
2019,1,RIC,0.0
2019,1,SAI,0.0
2019,2,BOT,44.0
2019,2,HAM,43.0
2019,2,VER,27.0
2019,2,LEC,26.0
2019,2,VET,22.0
2019,2,RAI,10.0
2019,2,MAG,8.0
2019,2,NOR,8.0
2019,2,HUL,6.0
2019,2,GAS,4.0
2019,2,STR,2.0
2019,2,ALB,2.0
2019,2,KVY,1.0
2019,2,PER,1.0
2019,2,GIO,0.0
2019,2,RUS,0.0
2019,2,KUB,0.0
2019,2,GRO,0.0
2019,2,RIC,0.0
2019,2,SAI,0.0
2019,3,HAM,68.0
2019,3,BOT,62.0
2019,3,VER,39.0
2019,3,VET,37.0
2019,3,LEC,36.0
2019,3,GAS,13.0
2019,3,RAI,12.0
2019,3,MAG,8.0
2019,3,NOR,8.0
2019,3,HUL,6.0
