Season,Round,Driver,Points
2020,12,RUS,0.0
2020,13,HAM,282.0
2020,13,BOT,197.0
2020,13,VER,162.0
2020,13,RIC,95.0
2020,13,LEC,85.0
2020,13,PER,82.0
2020,13,NOR,69.0
2020,13,SAI,65.0
2020,13,ALB,64.0
2020,13,GAS,63.0
2020,13,STR,57.0
2020,13,OCO,40.0
2020,13,KVY,26.0
2020,13,VET,18.0
2020,13,HUL,10.0
2020,13,GIO,4.0
2020,13,RAI,4.0
2020,13,GRO,2.0
2020,13,MAG,1.0
2020,13,LAT,0.0
2020,13,RUS,0.0
2020,14,HAM,307.0
2020,14,BOT,197.0
2020,14,VER,170.0
2020,14,PER,100.0
2020,14,LEC,97.0
2020,14,RIC,96.0
2020,14,SAI,75.0
2020,14,NOR,74.0
2020,14,ALB,70.0
2020,14,GAS,63.0
2020,14,STR,59.0
2020,14,OCO,40.0
2020,14,VET,33.0
2020,14,KVY,26.0
2020,14,HUL,10.0
2020,14,GIO,4.0
2020,14,RAI,4.0
2020,14,GRO,2.0
2020,14,MAG,1.0
2020,14,LAT,0.0
2020,14,RUS,0.0
2020,15,HAM,332.0
2020,15,BOT,201.0
2020,15,VER,189.0
2020,15,RIC,102.0
2020,15,PER,100.0
2020,15,LEC,98.0
2020,15,NOR,86.0
2020,15,SAI,85.0
2020,15,ALB,85.0
2020,15,GAS,71.0
2020,15,STR,59.0
2020,15,OCO,42.0
2020,15,VET,33.0
2020,15,KVY,26.0
2020,15,HUL,10.0
2020,15,GIO,4.0
2020,15,RAI,4.0
2020,15,GRO,2.0
2020,15,MAG,1.0
2020,15,LAT,0.0
2020,15,RUS,0.0
2020,16,HAM,332.0
2020,16,BOT,205.0
2020,16,VER,189.0
2020,16,PER,125.0
2020,16,RIC,112.0
2020,16,LEC,98.0
2020,16,SAI,97.0
2020,16,ALB,93.0
2020,16,NOR,87.0
2020,16,STR,74.0
2020,16,GAS,71.0
2020,16,OCO,60.0
2020,16,VET,33.0
2020,16,KVY,32.0
2020,16,HUL,10.0
2020,16,GIO,4.0
2020,16,RAI,4.0
2020,16,RUS,3.0
2020,16,GRO,2.0
2020,16,MAG,1.0
2020,16,LAT,0.0
2020,16,AIT,0.0
2020,16,FIT,0.0
2020,17,HAM,347.0
2020,17,BOT,223.0
2020,17,VER,214.0
2020,17,PER,125.0
2020,17,RIC,119.0
2020,17,SAI,105.0
2020,17,ALB,105.0
2020,17,LEC,98.0
2020,17,NOR,97.0
2020,17,GAS,75.0
2020,17,STR,75.0
2020,17,OCO,62.0
2020,17,VET,33.0
2020,17,KVY,32.0
2020,17,HUL,10.0
2020,17,GIO,4.0
2020,17,RAI,4.0
2020,17,RUS,3.0
2020,17,GRO,2.0
2020,17,MAG,1.0
2020,17,LAT,0.0
2020,17,AIT,0.0
2020,17,FIT,0.0
2021,1,HAM,25.0
2021,1,VER,18.0
2021,1,BOT,16.0
2021,1,NOR,12.0
2021,1,PER,10.0
2021,1,LEC,8.0
2021,1,RIC,6.0
2021,1,SAI,4.0
2021,1,TSU,2.0
2021,1,STR,1.0
2021,1,RAI,0.0
2021,1,GIO,0.0
2021,1,OCO,0.0
2021,1,RUS,0.0
2021,1,VET,0.0
2021,1,MSC,0.0
2021,1,GAS,0.0
2021,1,LAT,0.0
2021,1,ALO,0.0
2021,1,MAZ,0.0
2021,2,HAM,44.0
2021,2,VER,43.0
2021,2,NOR,27.0
2021,2,LEC,20.0
2021,2,BOT,16.0
2021,2,RIC,14.0
2021,2,SAI,14.0
2021,2,PER,10.0
2021,2,GAS,6.0
2021,2,STR,5.0
2021,2,TSU,2.0
2021,2,OCO,2.0
2021,2,ALO,1.0
2021,2,RAI,0.0
2021,2,GIO,0.0
2021,2,RUS,0.0
2021,2,VET,0.0
2021,2,MSC,0.0
2021,2,LAT,0.0
2021,2,MAZ,0.0
2021,3,HAM,69.0
2021,3,VER,61.0
2021,3,NOR,37.0
2021,3,BOT,32.0
2021,3,LEC,28.0
2021,3,PER,22.0
2021,3,RIC,16.0
2021,3,SAI,14.0
2021,3,OCO,8.0
2021,3,GAS,7.0
2021,3,STR,5.0
2021,3,ALO,5.0
2021,3,TSU,2.0
2021,3,RAI,0.0
2021,3,GIO,0.0
2021,3,RUS,0.0
2021,3,VET,0.0
2021,3,MSC,0.0
2021,3,LAT,0.0
2021,3,MAZ,0.0
2021,4,HAM,94.0
2021,4,VER,80.0
2021,4,BOT,47.0
2021,4,NOR,41.0
2021,4,LEC,40.0
2021,4,PER,32.0
2021,4,RIC,24.0
2021,4,SAI,20.0
2021,4,OCO,10.0
2021,4,GAS,8.0
2021,4,STR,5.0
2021,4,ALO,5.0
2021,4,TSU,2.0
2021,4,RAI,0.0
2021,4,GIO,0.0
2021,4,RUS,0.0
2021,4,VET,0.0
2021,4,MSC,0.0
2021,4,LAT,0.0
2021,4,MAZ,0.0
2021,5,VER,105.0
2021,5,HAM,101.0
2021,5,NOR,56.0
2021,5,BOT,47.0
2021,5,PER,44.0
2021,5,LEC,40.0
2021,5,SAI,38.0
2021,5,RIC,24.0
2021,5,GAS,16.0
2021,5,OCO,12.0
2021,5,VET,10.0
2021,5,STR,9.0
2021,5,ALO,5.0
2021,5,TSU,2.0
2021,5,GIO,1.0
2021,5,RAI,0.0
2021,5,RUS,0.0
2021,5,MSC,0.0
2021,5,LAT,0.0
2021,5,MAZ,0.0
2021,6,VER,105.0
2021,6,HAM,101.0
2021,6,PER,69.0
2021,6,NOR,66.0
2021,6,LEC,52.0
2021,6,BOT,47.0
2021,6,SAI,42.0
2021,6,GAS,31.0
2021,6,VET,28.0
2021,6,RIC,26.0
2021,6,ALO,13.0
2021,6,OCO,12.0
2021,6,STR,9.0
2021,6,TSU,8.0
2021,6,RAI,1.0
2021,6,GIO,1.0
2021,6,RUS,0.0
2021,6,MSC,0.0
2021,6,LAT,0.0
2021,6,MAZ,0.0
2021,7,VER,131.0
2021,7,HAM,119.0
2021,7,PER,84.0
2021,7,NOR,76.0
2021,7,BOT,59.0
2021,7,LEC,52.0
2021,7,SAI,42.0
2021,7,GAS,37.0
2021,7,RIC,34.0
2021,7,VET,30.0
2021,7,ALO,17.0
2021,7,OCO,12.0
2021,7,STR,10.0
2021,7,TSU,8.0
2021,7,RAI,1.0
2021,7,GIO,1.0
2021,7,RUS,0.0
2021,7,MSC,0.0
2021,7,LAT,0.0
2021,7,MAZ,0.0
2021,8,VER,156.0
2021,8,HAM,138.0
2021,8,PER,96.0
2021,8,NOR,86.0
2021,8,BOT,74.0
2021,8,LEC,58.0
2021,8,SAI,50.0
2021,8,GAS,37.0
2021,8,RIC,34.0
2021,8,VET,30.0
2021,8,ALO,19.0
2021,8,STR,14.0
2021,8,OCO,12.0
2021,8,TSU,9.0
2021,8,RAI,1.0
2021,8,GIO,1.0
2021,8,RUS,0.0
2021,8,MSC,0.0
2021,8,LAT,0.0
2021,8,MAZ,0.0
2021,9,VER,182.0
2021,9,HAM,150.0
2021,9,PER,104.0
2021,9,NOR,101.0
2021,9,BOT,92.0
2021,9,LEC,62.0
2021,9,SAI,60.0
2021,9,RIC,40.0
2021,9,GAS,39.0
2021,9,VET,30.0
2021,9,ALO,20.0
2021,9,STR,14.0
2021,9,OCO,12.0
2021,9,TSU,9.0
2021,9,RAI,1.0
2021,9,GIO,1.0
2021,9,RUS,0.0
2021,9,MSC,0.0
2021,9,LAT,0.0
2021,9,MAZ,0.0
2021,10,VER,185.0
2021,10,HAM,177.0
2021,10,NOR,113.0
2021,10,BOT,108.0
2021,10,PER,104.0
2021,10,LEC,80.0
2021,10,SAI,68.0
2021,10,RIC,50.0
2021,10,GAS,39.0
2021,10,VET,30.0
2021,10,ALO,26.0
2021,10,STR,18.0
2021,10,OCO,14.0
2021,10,TSU,10.0
2021,10,RAI,1.0
2021,10,GIO,1.0
2021,10,RUS,0.0
2021,10,MSC,0.0
2021,10,LAT,0.0
2021,10,MAZ,0.0
2021,11,HAM,195.0
2021,11,VER,187.0
2021,11,NOR,113.0
2021,11,BOT,108.0
2021,11,PER,104.0
2021,11,SAI,83.0
2021,11,LEC,80.0
2021,11,RIC,50.0
2021,11,GAS,50.0
2021,11,OCO,39.0
2021,11,ALO,38.0
2021,11,VET,30.0
2021,11,TSU,18.0
2021,11,STR,18.0
2021,11,LAT,6.0
2021,11,RUS,4.0
2021,11,RAI,2.0
2021,11,GIO,1.0
2021,11,MSC,0.0
2021,11,MAZ,0.0
2021,12,HAM,202.5
2021,12,VER,199.5
2021,12,NOR,113.0
2021,12,BOT,108.0
2021,12,PER,104.0
2021,12,SAI,83.5
2021,12,LEC,82.0
2021,12,RIC,56.0
2021,12,GAS,54.0
2021,12,OCO,42.0
2021,12,ALO,38.0
2021,12,VET,35.0
2021,12,TSU,18.0
2021,12,STR,18.0
2021,12,RUS,13.0
2021,12,LAT,7.0
2021,12,RAI,2.0
2021,12,GIO,1.0
2021,12,MSC,0.0
2021,12,MAZ,0.0
2021,13,VER,224.5
2021,13,HAM,221.5
2021,13,BOT,123.0
2021,13,NOR,114.0
2021,13,PER,108.0
2021,13,LEC,92.0
2021,13,SAI,89.5
2021,13,GAS,66.0
2021,13,RIC,56.0
2021,13,ALO,46.0
2021,13,OCO,44.0
2021,13,VET,35.0
2021,13,TSU,18.0
2021,13,STR,18.0
2021,13,RUS,13.0
2021,13,LAT,7.0
2021,13,RAI,2.0
2021,13,GIO,1.0
2021,13,MSC,0.0
2021,13,MAZ,0.0
2021,13,KUB,0.0
2021,14,VER,226.5
2021,14,HAM,221.5
2021,14,BOT,141.0
2021,14,NOR,132.0
2021,14,PER,118.0
2021,14,LEC,104.0
2021,14,SAI,97.5
2021,14,RIC,83.0
2021,14,GAS,66.0
2021,14,ALO,50.0
2021,14,OCO,45.0
2021,14,VET,35.0
2021,14,STR,24.0
2021,14,TSU,18.0
2021,14,RUS,15.0
2021,14,LAT,7.0
2021,14,RAI,2.0
2021,14,GIO,1.0
2021,14,MSC,0.0
2021,14,MAZ,0.0
2021,14,KUB,0.0
2021,15,HAM,246.5
2021,15,VER,244.5
2021,15,BOT,151.0
2021,15,NOR,139.0
2021,15,PER,120.0
2021,15,SAI,112.5
2021,15,LEC,104.0
2021,15,RIC,95.0
2021,15,GAS,66.0
2021,15,ALO,58.0
2021,15,OCO,45.0
2021,15,VET,35.0
2021,15,STR,24.0
2021,15,TSU,18.0
2021,15,RUS,16.0
2021,15,LAT,7.0
2021,15,RAI,6.0
2021,15,GIO,1.0
2021,15,MSC,0.0
2021,15,MAZ,0.0
2021,15,KUB,0.0
2021,16,VER,262.5
2021,16,HAM,256.5
2021,16,BOT,177.0
2021,16,NOR,145.0
2021,16,PER,135.0
2021,16,SAI,116.5
2021,16,LEC,116.0
2021,16,RIC,95.0
2021,16,GAS,74.0
2021,16,ALO,58.0
2021,16,OCO,46.0
2021,16,VET,35.0
2021,16,STR,26.0
2021,16,TSU,18.0
2021,16,RUS,16.0
2021,16,LAT,7.0
2021,16,RAI,6.0
2021,16,GIO,1.0
2021,16,MSC,0.0
2021,16,MAZ,0.0
2021,16,KUB,0.0
2021,17,VER,287.5
2021,17,HAM,275.5
2021,17,BOT,185.0
2021,17,PER,150.0
2021,17,NOR,149.0
2021,17,LEC,128.0
2021,17,SAI,122.5
2021,17,RIC,105.0
2021,17,GAS,74.0
2021,17,ALO,58.0
2021,17,OCO,46.0
2021,17,VET,36.0
2021,17,STR,26.0
2021,17,TSU,20.0
2021,17,RUS,16.0
2021,17,LAT,7.0
2021,17,RAI,6.0
2021,17,GIO,1.0
2021,17,MSC,0.0
2021,17,MAZ,0.0
2021,17,KUB,0.0
2021,18,VER,312.5
2021,18,HAM,293.5
2021,18,BOT,185.0
2021,18,PER,165.0
2021,18,NOR,150.0
2021,18,LEC,138.0
2021,18,SAI,130.5
2021,18,RIC,105.0
2021,18,GAS,86.0
2021,18,ALO,60.0
2021,18,OCO,46.0
2021,18,VET,42.0
2021,18,STR,26.0
2021,18,TSU,20.0
2021,18,RUS,16.0
2021,18,RAI,10.0
2021,18,LAT,7.0
2021,18,GIO,1.0
2021,18,MSC,0.0
2021,18,MAZ,0.0
2021,18,KUB,0.0
2021,19,VER,332.5
2021,19,HAM,318.5
2021,19,BOT,203.0
2021,19,PER,178.0
2021,19,NOR,151.0
2021,19,LEC,148.0
2021,19,SAI,139.5
2021,19,RIC,105.0
2021,19,GAS,92.0
2021,19,ALO,62.0
2021,19,OCO,50.0
2021,19,VET,42.0
2021,19,STR,26.0
2021,19,TSU,20.0
2021,19,RUS,16.0
2021,19,RAI,10.0
2021,19,LAT,7.0
2021,19,GIO,1.0
2021,19,MSC,0.0
2021,19,MAZ,0.0
2021,19,KUB,0.0
2021,20,VER,351.5
2021,20,HAM,343.5
2021,20,BOT,203.0
2021,20,PER,190.0
2021,20,NOR,153.0
2021,20,LEC,152.0
2021,20,SAI,145.5
2021,20,RIC,105.0
2021,20,GAS,92.0
2021,20,ALO,77.0
2021,20,OCO,60.0
2021,20,VET,43.0
2021,20,STR,34.0
2021,20,TSU,20.0
2021,20,RUS,16.0
2021,20,RAI,10.0
2021,20,LAT,7.0
2021,20,GIO,1.0
2021,20,MSC,0.0
2021,20,MAZ,0.0
2021,20,KUB,0.0
2021,21,HAM,369.5
2021,21,VER,369.5
2021,21,BOT,218.0
2021,21,PER,190.0
2021,21,LEC,158.0
2021,21,NOR,154.0
2021,21,SAI,149.5
2021,21,RIC,115.0
2021,21,GAS,100.0
2021,21,ALO,77.0
2021,21,OCO,72.0
2021,21,VET,43.0
2021,21,STR,34.0
2021,21,TSU,20.0
2021,21,RUS,16.0
2021,21,RAI,10.0
2021,21,LAT,7.0
2021,21,GIO,3.0
2021,21,MSC,0.0
2021,21,MAZ,0.0
2021,21,KUB,0.0
2021,22,VER,395.5
2021,22,HAM,387.5
2021,22,BOT,226.0
2021,22,PER,190.0
2021,22,SAI,164.5
2021,22,NOR,160.0
2021,22,LEC,159.0
2021,22,RIC,115.0
2021,22,GAS,110.0
2021,22,ALO,81.0
2021,22,OCO,74.0
2021,22,VET,43.0
2021,22,STR,34.0
2021,22,TSU,32.0
2021,22,RUS,16.0
2021,22,RAI,10.0
2021,22,LAT,7.0
2021,22,GIO,3.0
2021,22,MSC,0.0
2021,22,MAZ,0.0
2021,22,KUB,0.0
2022,1,LEC,26.0
2022,1,SAI,18.0
2022,1,HAM,15.0
2022,1,RUS,12.0
2022,1,MAG,10.0
2022,1,BOT,8.0
2022,1,OCO,6.0
2022,1,TSU,4.0
2022,1,ALO,2.0
2022,1,ZHO,1.0
2022,1,MSC,0.0
2022,1,STR,0.0
2022,1,ALB,0.0
2022,1,RIC,0.0
2022,1,NOR,0.0
2022,1,LAT,0.0
2022,1,HUL,0.0
2022,1,PER,0.0
2022,1,VER,0.0
2022,1,GAS,0.0
2022,2,LEC,45.0
2022,2,SAI,33.0
2022,2,VER,25.0
2022,2,RUS,22.0
2022,2,HAM,16.0
2022,2,OCO,14.0
2022,2,MAG,12.0
2022,2,PER,12.0
2022,2,BOT,8.0
2022,2,NOR,6.0
2022,2,TSU,4.0
2022,2,GAS,4.0
2022,2,ALO,2.0
2022,2,ZHO,1.0
2022,2,MSC,0.0
2022,2,STR,0.0
2022,2,ALB,0.0
2022,2,RIC,0.0
2022,2,LAT,0.0
2022,2,HUL,0.0
2022,3,LEC,71.0
2022,3,RUS,37.0
2022,3,SAI,33.0
2022,3,PER,30.0
2022,3,HAM,28.0
2022,3,VER,25.0
2022,3,OCO,20.0
2022,3,NOR,16.0
2022,3,MAG,12.0
2022,3,BOT,12.0
2022,3,RIC,8.0
2022,3,GAS,6.0
2022,3,TSU,4.0
2022,3,ALO,2.0
2022,3,ZHO,1.0
2022,3,ALB,1.0
2022,3,MSC,0.0
2022,3,STR,0.0
2022,3,LAT,0.0
2022,3,HUL,0.0
2022,3,VET,0.0
2022,4,LEC,86.0
2022,4,VER,59.0
2022,4,PER,54.0
2022,4,RUS,49.0
2022,4,SAI,38.0
2022,4,NOR,35.0
2022,4,HAM,28.0
2022,4,BOT,24.0
2022,4,OCO,20.0
2022,4,MAG,15.0
2022,4,RIC,11.0
2022,4,TSU,10.0
2022,4,GAS,6.0
2022,4,VET,4.0
2022,4,ALO,2.0
2022,4,ZHO,1.0
2022,4,STR,1.0
2022,4,ALB,1.0
2022,4,MSC,0.0
2022,4,LAT,0.0
2022,4,HUL,0.0
2022,5,LEC,104.0
2022,5,VER,85.0
2022,5,PER,66.0
2022,5,RUS,59.0
2022,5,SAI,53.0
2022,5,HAM,36.0
2022,5,NOR,35.0
2022,5,BOT,30.0
2022,5,OCO,24.0
2022,5,MAG,15.0
2022,5,RIC,11.0
2022,5,TSU,10.0
2022,5,GAS,6.0
2022,5,VET,4.0
2022,5,ALB,3.0
2022,5,ALO,2.0
2022,5,STR,2.0
2022,5,ZHO,1.0
2022,5,MSC,0.0
2022,5,LAT,0.0
2022,5,HUL,0.0
2022,6,VER,110.0
2022,6,LEC,104.0
2022,6,PER,85.0
2022,6,RUS,74.0
2022,6,SAI,65.0
2022,6,HAM,46.0
2022,6,NOR,39.0
2022,6,BOT,38.0
2022,6,OCO,30.0
2022,6,MAG,15.0
2022,6,TSU,11.0
2022,6,RIC,11.0
2022,6,GAS,6.0
2022,6,ALO,4.0
2022,6,VET,4.0
2022,6,ALB,3.0
2022,6,STR,2.0
2022,6,ZHO,1.0
2022,6,MSC,0.0
2022,6,LAT,0.0
2022,6,HUL,0.0
2022,7,VER,125.0
2022,7,LEC,116.0
2022,7,PER,110.0
2022,7,RUS,84.0
2022,7,SAI,83.0
2022,7,HAM,50.0
2022,7,NOR,48.0
2022,7,BOT,40.0
2022,7,OCO,30.0
2022,7,MAG,15.0
2022,7,TSU,11.0
2022,7,RIC,11.0
2022,7,ALO,10.0
2022,7,GAS,6.0
2022,7,VET,5.0
2022,7,ALB,3.0
2022,7,STR,2.0
2022,7,ZHO,1.0
2022,7,MSC,0.0
2022,7,LAT,0.0
2022,7,HUL,0.0
2022,8,VER,150.0
2022,8,PER,129.0
2022,8,LEC,116.0
2022,8,RUS,99.0
2022,8,SAI,83.0
2022,8,HAM,62.0
2022,8,NOR,50.0
2022,8,BOT,40.0
2022,8,OCO,31.0
2022,8,ALO,16.0
2022,8,GAS,16.0
2022,8,MAG,15.0
2022,8,RIC,15.0
2022,8,VET,13.0
2022,8,TSU,11.0
2022,8,ALB,3.0
2022,8,STR,2.0
2022,8,ZHO,1.0
2022,8,MSC,0.0
2022,8,LAT,0.0
2022,8,HUL,0.0
2022,9,VER,175.0
2022,9,PER,129.0
2022,9,LEC,126.0
2022,9,RUS,111.0
2022,9,SAI,102.0
2022,9,HAM,77.0
2022,9,NOR,50.0
2022,9,BOT,46.0
2022,9,OCO,39.0
2022,9,ALO,18.0
2022,9,GAS,16.0
2022,9,MAG,15.0
2022,9,RIC,15.0
2022,9,VET,13.0
2022,9,TSU,11.0
2022,9,ZHO,5.0
2022,9,STR,3.0
2022,9,ALB,3.0
2022,9,MSC,0.0
2022,9,LAT,0.0
2022,9,HUL,0.0
2022,10,VER,181.0
2022,10,PER,147.0
2022,10,LEC,138.0
2022,10,SAI,127.0
2022,10,RUS,111.0
2022,10,HAM,93.0
2022,10,NOR,58.0
2022,10,BOT,46.0
2022,10,OCO,39.0
2022,10,ALO,28.0
2022,10,MAG,16.0
2022,10,GAS,16.0
2022,10,RIC,15.0
2022,10,VET,15.0
2022,10,TSU,11.0
2022,10,ZHO,5.0
2022,10,MSC,4.0
2022,10,STR,3.0
2022,10,ALB,3.0
2022,10,LAT,0.0
2022,10,HUL,0.0
2022,11,VER,208.0
2022,11,LEC,170.0
2022,11,PER,151.0
2022,11,SAI,133.0
2022,11,RUS,128.0
2022,11,HAM,109.0
2022,11,NOR,64.0
2022,11,OCO,52.0
2022,11,BOT,46.0
2022,11,ALO,29.0
2022,11,MAG,22.0
2022,11,RIC,17.0
2022,11,GAS,16.0
2022,11,VET,15.0
2022,11,MSC,12.0
2022,11,TSU,11.0
2022,11,ZHO,5.0
2022,11,STR,3.0
2022,11,ALB,3.0
2022,11,LAT,0.0
2022,11,HUL,0.0
2022,12,VER,233.0
2022,12,LEC,170.0
2022,12,PER,163.0
2022,12,SAI,144.0
2022,12,RUS,143.0
2022,12,HAM,127.0
2022,12,NOR,70.0
2022,12,OCO,56.0
2022,12,BOT,46.0
2022,12,ALO,37.0
2022,12,MAG,22.0
2022,12,RIC,19.0
2022,12,GAS,16.0
2022,12,VET,15.0
2022,12,MSC,12.0
2022,12,TSU,11.0
2022,12,ZHO,5.0
2022,12,STR,4.0
2022,12,ALB,3.0
2022,12,LAT,0.0
2022,12,HUL,0.0
2022,13,VER,258.0
2022,13,LEC,178.0
2022,13,PER,173.0
2022,13,RUS,158.0
2022,13,SAI,156.0
2022,13,HAM,146.0
2022,13,NOR,76.0
2022,13,OCO,58.0
2022,13,BOT,46.0
2022,13,ALO,41.0
2022,13,MAG,22.0
2022,13,RIC,19.0
2022,13,GAS,16.0
2022,13,VET,16.0
2022,13,MSC,12.0
2022,13,TSU,11.0
2022,13,ZHO,5.0
2022,13,STR,4.0
2022,13,ALB,3.0
2022,13,LAT,0.0
2022,13,HUL,0.0
2022,14,VER,284.0
2022,14,PER,191.0
2022,14,LEC,186.0
2022,14,SAI,171.0
2022,14,RUS,170.0
2022,14,HAM,146.0
2022,14,NOR,76.0
2022,14,OCO,64.0
2022,14,ALO,51.0
2022,14,BOT,46.0
2022,14,MAG,22.0
2022,14,VET,20.0
2022,14,RIC,19.0
2022,14,GAS,18.0
2022,14,MSC,12.0
2022,14,TSU,11.0
2022,14,ZHO,5.0
2022,14,STR,4.0
2022,14,ALB,4.0
2022,14,LAT,0.0
2022,14,HUL,0.0
2022,15,VER,310.0
2022,15,LEC,201.0
2022,15,PER,201.0
2022,15,RUS,188.0
2022,15,SAI,175.0
2022,15,HAM,158.0
2022,15,NOR,82.0
2022,15,OCO,66.0
2022,15,ALO,59.0
2022,15,BOT,46.0
2022,15,MAG,22.0
2022,15,VET,20.0
2022,15,RIC,19.0
2022,15,GAS,18.0
2022,15,MSC,12.0
2022,15,TSU,11.0
2022,15,ZHO,5.0
2022,15,STR,5.0
2022,15,ALB,4.0
2022,15,LAT,0.0
2022,15,HUL,0.0
2022,16,VER,335.0
2022,16,LEC,219.0
2022,16,PER,210.0
2022,16,RUS,203.0
2022,16,SAI,187.0
2022,16,HAM,168.0
2022,16,NOR,88.0
2022,16,OCO,66.0
2022,16,ALO,59.0
2022,16,BOT,46.0
2022,16,MAG,22.0
2022,16,GAS,22.0
2022,16,VET,20.0
2022,16,RIC,19.0
2022,16,MSC,12.0
2022,16,TSU,11.0
2022,16,ZHO,6.0
2022,16,STR,5.0
2022,16,ALB,4.0
2022,16,DEV,2.0
2022,16,LAT,0.0
2022,16,HUL,0.0
2022,17,VER,341.0
2022,17,LEC,237.0
2022,17,PER,235.0
2022,17,RUS,203.0
2022,17,SAI,202.0
2022,17,HAM,170.0
2022,17,NOR,100.0
2022,17,OCO,66.0
2022,17,ALO,59.0
2022,17,BOT,46.0
2022,17,RIC,29.0
2022,17,VET,24.0
2022,17,GAS,23.0
2022,17,MAG,22.0
2022,17,STR,13.0
2022,17,MSC,12.0
2022,17,TSU,11.0
2022,17,ZHO,6.0
2022,17,ALB,4.0
2022,17,DEV,2.0
2022,17,LAT,0.0
2022,17,HUL,0.0
2022,18,VER,366.0
2022,18,PER,253.0
2022,18,LEC,252.0
2022,18,RUS,207.0
2022,18,SAI,202.0
2022,18,HAM,180.0
2022,18,NOR,101.0
2022,18,OCO,78.0
2022,18,ALO,65.0
2022,18,BOT,46.0
2022,18,VET,32.0
2022,18,RIC,29.0
2022,18,GAS,23.0
2022,18,MAG,22.0
2022,18,STR,13.0
2022,18,MSC,12.0
2022,18,TSU,11.0
2022,18,ZHO,6.0
2022,18,ALB,4.0
2022,18,LAT,2.0
2022,18,DEV,2.0
2022,18,HUL,0.0
2022,19,VER,391.0
2022,19,LEC,267.0
2022,19,PER,265.0
2022,19,RUS,218.0
2022,19,SAI,202.0
2022,19,HAM,198.0
2022,19,NOR,109.0
2022,19,OCO,78.0
2022,19,ALO,71.0
2022,19,BOT,46.0
2022,19,VET,36.0
2022,19,RIC,29.0
2022,19,MAG,24.0
2022,19,GAS,23.0
2022,19,STR,13.0
2022,19,TSU,12.0
2022,19,MSC,12.0
2022,19,ZHO,6.0
2022,19,ALB,4.0
2022,19,LAT,2.0
2022,19,DEV,2.0
2022,19,HUL,0.0
2022,20,VER,416.0
2022,20,PER,280.0
2022,20,LEC,275.0
2022,20,RUS,231.0
2022,20,HAM,216.0
2022,20,SAI,212.0
2022,20,NOR,111.0
2022,20,OCO,82.0
2022,20,ALO,71.0
2022,20,BOT,47.0
2022,20,VET,36.0
2022,20,RIC,35.0
2022,20,MAG,24.0
2022,20,GAS,23.0
2022,20,STR,13.0
2022,20,TSU,12.0
2022,20,MSC,12.0
2022,20,ZHO,6.0
2022,20,ALB,4.0
2022,20,LAT,2.0
2022,20,DEV,2.0
2022,20,HUL,0.0
2022,21,VER,429.0
2022,21,LEC,290.0
2022,21,PER,290.0
2022,21,RUS,265.0
2022,21,HAM,240.0
2022,21,SAI,234.0
2022,21,NOR,113.0
2022,21,OCO,86.0
2022,21,ALO,81.0
2022,21,BOT,49.0
2022,21,VET,36.0
2022,21,RIC,35.0
2022,21,MAG,25.0
2022,21,GAS,23.0
2022,21,STR,14.0
2022,21,TSU,12.0
2022,21,MSC,12.0
2022,21,ZHO,6.0
2022,21,ALB,4.0
2022,21,LAT,2.0
2022,21,DEV,2.0
2022,21,HUL,0.0
2022,22,VER,454.0
2022,22,LEC,308.0
2022,22,PER,305.0
2022,22,RUS,275.0
2022,22,SAI,246.0
2022,22,HAM,240.0
2022,22,NOR,122.0
2022,22,OCO,92.0
2022,22,ALO,81.0
2022,22,BOT,49.0
2022,22,RIC,37.0
2022,22,VET,37.0
2022,22,MAG,25.0
2022,22,GAS,23.0
2022,22,STR,18.0
2022,22,TSU,12.0
2022,22,MSC,12.0
2022,22,ZHO,6.0
2022,22,ALB,4.0
2022,22,LAT,2.0
2022,22,DEV,2.0
2022,22,HUL,0.0
2023,1,VER,25.0
2023,1,PER,18.0
2023,1,ALO,15.0
2023,1,SAI,12.0
2023,1,HAM,10.0
2023,1,STR,8.0
2023,1,RUS,6.0
2023,1,BOT,4.0
2023,1,GAS,2.0
2023,1,ALB,1.0
2023,1,TSU,0.0
2023,1,SAR,0.0
2023,1,MAG,0.0
2023,1,DEV,0.0
2023,1,HUL,0.0
2023,1,ZHO,0.0
2023,1,NOR,0.0
2023,1,OCO,0.0
2023,1,LEC,0.0
2023,1,PIA,0.0
2023,2,VER,44.0
2023,2,PER,43.0
2023,2,ALO,30.0
2023,2,SAI,20.0
2023,2,HAM,20.0
2023,2,RUS,18.0
2023,2,STR,8.0
2023,2,LEC,6.0
2023,2,BOT,4.0
2023,2,GAS,4.0
2023,2,OCO,4.0
2023,2,ALB,1.0
2023,2,MAG,1.0
2023,2,TSU,0.0
2023,2,SAR,0.0
2023,2,DEV,0.0
2023,2,HUL,0.0
2023,2,ZHO,0.0
2023,2,NOR,0.0
2023,2,PIA,0.0
2023,3,VER,69.0
2023,3,PER,54.0
2023,3,ALO,45.0
2023,3,HAM,38.0
2023,3,SAI,20.0
2023,3,STR,20.0
2023,3,RUS,18.0
2023,3,NOR,8.0
2023,3,HUL,6.0
2023,3,LEC,6.0
2023,3,BOT,4.0
2023,3,GAS,4.0
2023,3,OCO,4.0
2023,3,PIA,4.0
2023,3,ZHO,2.0
2023,3,ALB,1.0
2023,3,TSU,1.0
2023,3,MAG,1.0
2023,3,SAR,0.0
2023,3,DEV,0.0
2023,4,VER,93.0
