Driver,GrandPrix,DriverPointsPerRace,TeamPointsPerRace,GridPosition,FinishPosition,PitStops,Stint1Length,Stint1Compound,Stint2Length,Stint2Compound,Stint3Length,Stint3Compound,Stint4Length,Stint4Compound,Strategy,Laps,LengthKM,TurnCount,DrsZones,PitLaneLengthM,DegradationLevel,StreetCircuit,AvgTrackTemp,AvgAirTemp,AvgHumidity,RainfallMM,SafetyCarLaps
ALB,French Grand Prix 2019,1.0,2.4285714285714284,11.0,15.0,1,25,C3,27,C2,0,,0,,C3-C2,53,5.842,15,2,423,Low,False,54.525619834710746,26.89421487603306,39.09090909090909,0.0,1
GIO,French Grand Prix 2019,0.0,1.8571428571428572,10.0,16.0,2,7,C4,27,C2,18,C3,0,,C4-C2-C3,53,5.842,15,2,423,Low,False,54.525619834710746,26.89421487603306,39.09090909090909,0.0,1
MAG,French Grand Prix 2019,2.0,2.2857142857142856,15.0,17.0,1,16,C3,36,C2,0,,0,,C3-C2,53,5.842,15,2,423,Low,False,54.525619834710746,26.89421487603306,39.09090909090909,0.0,1
KUB,French Grand Prix 2019,0.0,0.0,18.0,18.0,1,24,C3,27,C2,0,,0,,C3-C2,53,5.842,15,2,423,Low,False,54.525619834710746,26.89421487603306,39.09090909090909,0.0,1
RUS,French Grand Prix 2019,0.0,0.0,20.0,19.0,2,25,C3,8,C2,18,C3,0,,C3-C2-C3,53,5.842,15,2,423,Low,False,54.525619834710746,26.89421487603306,39.09090909090909,0.0,1
VER,Austrian Grand Prix 2019,12.5,17.125,2.0,1.0,1,31,C3,40,C2,0,,0,,C3-C2,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
LEC,Austrian Grand Prix 2019,10.875,24.75,1.0,2.0,1,22,C4,49,C2,0,,0,,C4-C2,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
BOT,Austrian Grand Prix 2019,18.875,42.25,3.0,3.0,1,21,C3,50,C2,0,,0,,C3-C2,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
VET,Austrian Grand Prix 2019,13.875,24.75,9.0,4.0,2,21,C4,29,C2,21,C4,0,,C4-C2-C4,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
HAM,Austrian Grand Prix 2019,23.375,42.25,4.0,5.0,1,30,C3,41,C2,0,,0,,C3-C2,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
NOR,Austrian Grand Prix 2019,1.75,5.0,5.0,6.0,1,25,C4,45,C3,0,,0,,C4-C3,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
GAS,Austrian Grand Prix 2019,4.625,17.125,8.0,7.0,1,25,C4,45,C2,0,,0,,C4-C2,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
SAI,Austrian Grand Prix 2019,3.25,5.0,19.0,8.0,1,41,C3,29,C2,0,,0,,C3-C2,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
RAI,Austrian Grand Prix 2019,2.375,2.375,6.0,9.0,1,23,C4,47,C2,0,,0,,C4-C2,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
GIO,Austrian Grand Prix 2019,0.0,2.375,7.0,10.0,1,24,C4,46,C2,0,,0,,C4-C2,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
PER,Austrian Grand Prix 2019,1.625,2.375,13.0,11.0,1,28,C3,42,C2,0,,0,,C3-C2,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
RIC,Austrian Grand Prix 2019,2.0,4.0,12.0,12.0,1,46,C3,24,C4,0,,0,,C3-C4,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
HUL,Austrian Grand Prix 2019,2.0,4.0,15.0,13.0,1,26,C3,44,C2,0,,0,,C3-C2,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
STR,Austrian Grand Prix 2019,0.75,2.375,14.0,14.0,1,25,C3,45,C2,0,,0,,C3-C2,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
ALB,Austrian Grand Prix 2019,0.875,2.125,18.0,15.0,1,35,C3,35,C2,0,,0,,C3-C2,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
GRO,Austrian Grand Prix 2019,0.25,2.0,11.0,16.0,1,34,C3,36,C2,0,,0,,C3-C2,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
KVY,Austrian Grand Prix 2019,1.25,2.125,16.0,17.0,1,32,C3,38,C2,0,,0,,C3-C2,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
RUS,Austrian Grand Prix 2019,0.0,0.0,0.0,18.0,1,27,C3,42,C2,0,,0,,C3-C2,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
MAG,Austrian Grand Prix 2019,1.75,2.0,10.0,19.0,3,11,C4,2,C2,49,C2,7,C4,C4-C2-C2-C4,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
KUB,Austrian Grand Prix 2019,0.0,0.0,17.0,20.0,1,19,C3,49,C2,0,,0,,C3-C2,71,4.318,10,3,359,Medium,False,50.74406779661018,34.44406779661016,17.965254237288136,0.0,0
HAM,British Grand Prix 2019,21.88888888888889,40.333333333333336,2.0,1.0,1,20,C2,32,C1,0,,0,,C2-C1,52,5.891,18,2,510,High,False,30.32203389830509,18.905084745762718,62.135593220338976,0.0,4
BOT,British Grand Prix 2019,18.444444444444443,40.333333333333336,1.0,2.0,2,16,C2,29,C2,7,C3,0,,C2-C2-C3,52,5.891,18,2,510,High,False,30.32203389830509,18.905084745762718,62.135593220338976,0.0,4
LEC,British Grand Prix 2019,11.666666666666666,25.333333333333332,3.0,3.0,2,13,C3,8,C2,31,C1,0,,C3-C2-C1,52,5.891,18,2,510,High,False,30.32203389830509,18.905084745762718,62.135593220338976,0.0,4
GAS,British Grand Prix 2019,4.777777777777778,18.77777777777778,5.0,4.0,1,12,C2,40,C1,0,,0,,C2-C1,52,5.891,18,2,510,High,False,30.32203389830509,18.905084745762718,62.135593220338976,0.0,4
VER,British Grand Prix 2019,14.0,18.77777777777778,4.0,5.0,2,13,C2,7,C2,32,C1,0,,C2-C2-C1,52,5.891,18,2,510,High,False,30.32203389830509,18.905084745762718,62.135593220338976,0.0,4
SAI,British Grand Prix 2019,3.3333333333333335,5.777777777777778,13.0,6.0,1,20,C2,32,C1,0,,0,,C2-C1,52,5.891,18,2,510,High,False,30.32203389830509,18.905084745762718,62.135593220338976,0.0,4
RIC,British Grand Prix 2019,1.7777777777777777,3.5555555555555554,7.0,7.0,2,12,C3,8,C2,32,C1,0,,C3-C2-C1,52,5.891,18,2,510,High,False,30.32203389830509,18.905084745762718,62.135593220338976,0.0,4
RAI,British Grand Prix 2019,2.3333333333333335,2.4444444444444446,12.0,8.0,1,17,C2,35,C1,0,,0,,C2-C1,52,5.891,18,2,510,High,False,30.32203389830509,18.905084745762718,62.135593220338976,0.0,4
KVY,British Grand Prix 2019,1.1111111111111112,1.8888888888888888,17.0,9.0,2,12,C3,9,C2,31,C1,0,,C3-C2-C1,52,5.891,18,2,510,High,False,30.32203389830509,18.905084745762718,62.135593220338976,0.0,4
HUL,British Grand Prix 2019,1.7777777777777777,3.5555555555555554,10.0,10.0,1,13,C3,39,C1,0,,0,,C3-C1,52,5.891,18,2,510,High,False,30.32203389830509,18.905084745762718,62.135593220338976,0.0,4
NOR,British Grand Prix 2019,2.4444444444444446,5.777777777777778,8.0,11.0,2,13,C3,22,C2,17,C1,0,,C3-C2-C1,52,5.891,18,2,510,High,False,30.32203389830509,18.905084745762718,62.135593220338976,0.0,4
ALB,British Grand Prix 2019,0.7777777777777778,1.8888888888888888,9.0,12.0,1,13,C3,39,C2,0,,0,,C3-C2,52,5.891,18,2,510,High,False,30.32203389830509,18.905084745762718,62.135593220338976,0.0,4
STR,British Grand Prix 2019,0.6666666666666666,2.111111111111111,18.0,13.0,2,13,C2,26,C1,13,C3,0,,C2-C1-C3,52,5.891,18,2,510,High,False,30.32203389830509,18.905084745762718,62.135593220338976,0.0,4
RUS,British Grand Prix 2019,0.0,0.0,19.0,14.0,1,21,C2,30,C1,0,,0,,C2-C1,52,5.891,18,2,510,High,False,30.32203389830509,18.905084745762718,62.135593220338976,0.0,4
KUB,British Grand Prix 2019,0.0,0.0,20.0,15.0,1,20,C2,31,C1,0,,0,,C2-C1,52,5.891,18,2,510,High,False,30.32203389830509,18.905084745762718,62.135593220338976,0.0,4
VET,British Grand Prix 2019,13.666666666666666,25.333333333333332,6.0,16.0,2,20,C3,18,C1,13,C2,0,,C3-C1-C2,52,5.891,18,2,510,High,False,30.32203389830509,18.905084745762718,62.135593220338976,0.0,4
PER,British Grand Prix 2019,1.4444444444444444,2.111111111111111,15.0,17.0,3,18,C2,6,C1,22,C3,5,C3,C2-C1-C3-C3,52,5.891,18,2,510,High,False,30.32203389830509,18.905084745762718,62.135593220338976,0.0,4
VER,German Grand Prix 2019,13.6,19.1,2.0,1.0,5,3,W,22,I,4,C3,12,I,W-I-C3-I,67,4.574,17,2,307,Low,False,26.441496598639453,21.503401360544217,87.83061224489796,0.9659863945578231,19
VET,German Grand Prix 2019,12.3,24.3,20.0,2.0,5,2,W,21,I,5,C4,13,I,W-I-C4-I,67,4.574,17,2,307,Low,False,26.441496598639453,21.503401360544217,87.83061224489796,0.9659863945578231,19
KVY,German Grand Prix 2019,1.2,1.9,14.0,3.0,4,3,W,22,I,3,C4,17,I,W-I-C4-I,67,4.574,17,2,307,Low,False,26.441496598639453,21.503401360544217,87.83061224489796,0.9659863945578231,19
STR,German Grand Prix 2019,0.6,1.9,15.0,4.0,5,7,W,18,I,3,C3,13,I,W-I-C3-I,67,4.574,17,2,307,Low,False,26.441496598639453,21.503401360544217,87.83061224489796,0.9659863945578231,19
SAI,German Grand Prix 2019,3.8,6.0,7.0,5.0,3,3,W,24,I,19,I,18,C4,W-I-I-C4,67,4.574,17,2,307,Low,False,26.441496598639453,21.503401360544217,87.83061224489796,0.9659863945578231,19
ALB,German Grand Prix 2019,0.7,1.9,16.0,6.0,4,2,W,25,I,1,C4,18,I,W-I-C4-I,67,4.574,17,2,307,Low,False,26.441496598639453,21.503401360544217,87.83061224489796,0.9659863945578231,19
GRO,German Grand Prix 2019,0.2,1.6,6.0,7.0,5,3,W,23,I,2,C4,13,I,W-I-C4-I,67,4.574,17,2,307,Low,False,26.441496598639453,21.503401360544217,87.83061224489796,0.9659863945578231,19
MAG,German Grand Prix 2019,1.4,1.6,12.0,8.0,6,8,W,13,I,8,C4,13,I,W-I-C4-I,67,4.574,17,2,307,Low,False,26.441496598639453,21.503401360544217,87.83061224489796,0.9659863945578231,19
HAM,German Grand Prix 2019,22.3,40.7,1.0,9.0,6,3,W,25,I,1,C4,18,I,W-I-C4-I,67,4.574,17,2,307,Low,False,26.441496598639453,21.503401360544217,87.83061224489796,0.9659863945578231,19
KUB,German Grand Prix 2019,0.0,0.0,18.0,10.0,5,7,W,16,I,8,I,15,I,W-I-I-I,67,4.574,17,2,307,Low,False,26.441496598639453,21.503401360544217,87.83061224489796,0.9659863945578231,19
RUS,German Grand Prix 2019,0.0,0.0,17.0,11.0,5,7,W,17,I,17,I,6,I,W-I-I-I,67,4.574,17,2,307,Low,False,26.441496598639453,21.503401360544217,87.83061224489796,0.9659863945578231,19
RAI,German Grand Prix 2019,2.5,2.6,5.0,12.0,4,3,W,23,I,2,C3,19,I,W-I-C3-I,67,4.574,17,2,307,Low,False,26.441496598639453,21.503401360544217,87.83061224489796,0.9659863945578231,19
GIO,German Grand Prix 2019,0.1,2.6,11.0,13.0,4,3,W,23,I,2,C3,19,I,W-I-C3-I,67,4.574,17,2,307,Low,False,26.441496598639453,21.503401360544217,87.83061224489796,0.9659863945578231,19
HAM,Hungarian Grand Prix 2019,20.454545454545453,37.18181818181818,3.0,1.0,2,31,C3,18,C2,21,C3,0,,C3-C2-C3,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
VER,Hungarian Grand Prix 2019,14.727272727272727,19.727272727272727,1.0,2.0,2,25,C3,42,C2,3,C4,0,,C3-C2-C4,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
VET,Hungarian Grand Prix 2019,12.818181818181818,23.727272727272727,5.0,3.0,1,39,C3,31,C4,0,,0,,C3-C4,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
LEC,Hungarian Grand Prix 2019,10.909090909090908,23.727272727272727,4.0,4.0,1,27,C3,43,C2,0,,0,,C3-C2,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
SAI,Hungarian Grand Prix 2019,4.363636363636363,6.363636363636363,8.0,5.0,1,29,C4,40,C2,0,,0,,C4-C2,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
GAS,Hungarian Grand Prix 2019,5.0,19.727272727272727,6.0,6.0,1,28,C3,41,C2,0,,0,,C3-C2,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
RAI,Hungarian Grand Prix 2019,2.272727272727273,2.3636363636363638,10.0,7.0,1,29,C4,40,C3,0,,0,,C4-C3,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
BOT,Hungarian Grand Prix 2019,16.727272727272727,37.18181818181818,2.0,8.0,2,5,C3,41,C2,23,C3,0,,C3-C2-C3,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
NOR,Hungarian Grand Prix 2019,2.0,6.363636363636363,7.0,9.0,1,28,C4,41,C2,0,,0,,C4-C2,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
ALB,Hungarian Grand Prix 2019,1.3636363636363635,3.8181818181818183,12.0,10.0,1,28,C3,41,C2,0,,0,,C3-C2,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
PER,Hungarian Grand Prix 2019,1.1818181818181819,2.8181818181818183,16.0,11.0,1,18,C3,51,C2,0,,0,,C3-C2,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
HUL,Hungarian Grand Prix 2019,1.5454545454545454,3.5454545454545454,11.0,12.0,1,36,C3,33,C4,0,,0,,C3-C4,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
MAG,Hungarian Grand Prix 2019,1.6363636363636365,2.3636363636363638,14.0,13.0,1,38,C3,31,C4,0,,0,,C3-C4,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
RIC,Hungarian Grand Prix 2019,2.0,3.5454545454545454,20.0,14.0,1,46,C2,23,C4,0,,0,,C2-C4,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
KVY,Hungarian Grand Prix 2019,2.4545454545454546,3.8181818181818183,13.0,15.0,1,21,C3,47,C2,0,,0,,C3-C2,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
RUS,Hungarian Grand Prix 2019,0.0,0.09090909090909091,15.0,16.0,1,16,C3,52,C2,0,,0,,C3-C2,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
STR,Hungarian Grand Prix 2019,1.6363636363636365,2.8181818181818183,18.0,17.0,2,16,C3,34,C2,18,C4,0,,C3-C2-C4,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
GIO,Hungarian Grand Prix 2019,0.09090909090909091,2.3636363636363638,17.0,18.0,1,15,C3,53,C2,0,,0,,C3-C2,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
KUB,Hungarian Grand Prix 2019,0.09090909090909091,0.09090909090909091,19.0,19.0,1,18,C3,49,C2,0,,0,,C3-C2,70,4.381,14,1,364,Medium,False,44.096923076923076,25.66,33.893076923076926,0.0,0
LEC,Belgian Grand Prix 2019,11.0,24.0,1.0,1.0,1,21,C3,23,C2,0,,0,,C3-C2,44,7.004,19,2,367,Medium,False,28.119166666666665,17.4,57.03,0.0,4
HAM,Belgian Grand Prix 2019,20.833333333333332,36.5,3.0,2.0,1,22,C3,22,C2,0,,0,,C3-C2,44,7.004,19,2,367,Medium,False,28.119166666666665,17.4,57.03,0.0,4
BOT,Belgian Grand Prix 2019,15.666666666666666,36.5,4.0,3.0,1,23,C3,21,C2,0,,0,,C3-C2,44,7.004,19,2,367,Medium,False,28.119166666666665,17.4,57.03,0.0,4
VET,Belgian Grand Prix 2019,13.0,24.0,2.0,4.0,2,15,C3,18,C2,11,C3,0,,C3-C2-C3,44,7.004,19,2,367,Medium,False,28.119166666666665,17.4,57.03,0.0,4
ALB,Belgian Grand Prix 2019,1.3333333333333333,20.333333333333332,17.0,5.0,1,23,C2,21,C3,0,,0,,C2-C3,44,7.004,19,2,367,Medium,False,28.119166666666665,17.4,57.03,0.0,4
PER,Belgian Grand Prix 2019,1.0833333333333333,2.5833333333333335,7.0,6.0,1,15,C3,29,C2,0,,0,,C3-C2,44,7.004,19,2,367,Medium,False,28.119166666666665,17.4,57.03,0.0,4
KVY,Belgian Grand Prix 2019,2.25,3.5833333333333335,19.0,7.0,1,24,C2,20,C3,0,,0,,C2-C3,44,7.004,19,2,367,Medium,False,28.119166666666665,17.4,57.03,0.0,4
HUL,Belgian Grand Prix 2019,1.4166666666666667,3.25,12.0,8.0,2,11,C3,20,C2,13,C3,0,,C3-C2-C3,44,7.004,19,2,367,Medium,False,28.119166666666665,17.4,57.03,0.0,4
GAS,Belgian Grand Prix 2019,5.25,3.5833333333333335,13.0,9.0,1,13,C3,31,C2,0,,0,,C3-C2,44,7.004,19,2,367,Medium,False,28.119166666666665,17.4,57.03,0.0,4
STR,Belgian Grand Prix 2019,1.5,2.5833333333333335,16.0,10.0,2,14,C3,16,C2,14,C3,0,,C3-C2-C3,44,7.004,19,2,367,Medium,False,28.119166666666665,17.4,57.03,0.0,4
MAG,Belgian Grand Prix 2019,1.5,2.1666666666666665,8.0,12.0,1,25,C3,18,C2,0,,0,,C3-C2,44,7.004,19,2,367,Medium,False,28.119166666666665,17.4,57.03,0.0,4
GRO,Belgian Grand Prix 2019,0.6666666666666666,2.1666666666666665,9.0,13.0,1,16,C3,27,C2,0,,0,,C3-C2,44,7.004,19,2,367,Medium,False,28.119166666666665,17.4,57.03,0.0,4
RIC,Belgian Grand Prix 2019,1.8333333333333333,3.25,10.0,14.0,1,1,C3,42,C3,0,,0,,C3-C3,44,7.004,19,2,367,Medium,False,28.119166666666665,17.4,57.03,0.0,4
RUS,Belgian Grand Prix 2019,0.0,0.08333333333333333,14.0,15.0,1,30,C2,13,C3,0,,0,,C2-C3,44,7.004,19,2,367,Medium,False,28.119166666666665,17.4,57.03,0.0,4
RAI,Belgian Grand Prix 2019,2.5833333333333335,2.6666666666666665,6.0,16.0,3,1,C3,1,C2,29,C2,12,C3,C3-C2-C2-C3,44,7.004,19,2,367,Medium,False,28.119166666666665,17.4,57.03,0.0,4
KUB,Belgian Grand Prix 2019,0.08333333333333333,0.08333333333333333,0.0,17.0,1,31,C2,12,C3,0,,0,,C2-C3,44,7.004,19,2,367,Medium,False,28.119166666666665,17.4,57.03,0.0,4
LEC,Italian Grand Prix 2019,12.076923076923077,25.076923076923077,1.0,1.0,1,20,C4,33,C2,0,,0,,C4-C2,53,5.793,11,2,417,Low,False,33.04054054054055,21.0972972972973,51.574774774774774,0.0,2
BOT,Italian Grand Prix 2019,15.615384615384615,36.23076923076923,3.0,2.0,1,27,C4,26,C3,0,,0,,C4-C3,53,5.793,11,2,417,Low,False,33.04054054054055,21.0972972972973,51.574774774774774,0.0,2
HAM,Italian Grand Prix 2019,20.615384615384617,36.23076923076923,2.0,3.0,2,19,C4,30,C3,4,C4,0,,C4-C3-C4,53,5.793,11,2,417,Low,False,33.04054054054055,21.0972972972973,51.574774774774774,0.0,2
RIC,Italian Grand Prix 2019,1.6923076923076923,3.3076923076923075,5.0,4.0,1,30,C4,23,C3,0,,0,,C4-C3,53,5.793,11,2,417,Low,False,33.04054054054055,21.0972972972973,51.574774774774774,0.0,2
HUL,Italian Grand Prix 2019,1.6153846153846154,3.3076923076923075,6.0,5.0,1,29,C4,24,C3,0,,0,,C4-C3,53,5.793,11,2,417,Low,False,33.04054054054055,21.0972972972973,51.574774774774774,0.0,2
ALB,Italian Grand Prix 2019,2.0,19.53846153846154,8.0,6.0,1,26,C4,27,C3,0,,0,,C4-C3,53,5.793,11,2,417,Low,False,33.04054054054055,21.0972972972973,51.574774774774774,0.0,2
PER,Italian Grand Prix 2019,1.6153846153846154,3.076923076923077,18.0,7.0,1,28,C3,25,C4,0,,0,,C3-C4,53,5.793,11,2,417,Low,False,33.04054054054055,21.0972972972973,51.574774774774774,0.0,2
VER,Italian Grand Prix 2019,13.923076923076923,19.53846153846154,19.0,8.0,2,1,C3,26,C4,26,C3,0,,C3-C4-C3,53,5.793,11,2,417,Low,False,33.04054054054055,21.0972972972973,51.574774774774774,0.0,2
GIO,Italian Grand Prix 2019,0.07692307692307693,2.4615384615384617,10.0,9.0,1,21,C4,31,C3,0,,0,,C4-C3,53,5.793,11,2,417,Low,False,33.04054054054055,21.0972972972973,51.574774774774774,0.0,2
NOR,Italian Grand Prix 2019,1.8461538461538463,6.3076923076923075,16.0,10.0,1,23,C3,29,C2,0,,0,,C3-C2,53,5.793,11,2,417,Low,False,33.04054054054055,21.0972972972973,51.574774774774774,0.0,2
GAS,Italian Grand Prix 2019,5.0,3.923076923076923,17.0,11.0,1,28,C3,24,C4,0,,0,,C3-C4,53,5.793,11,2,417,Low,False,33.04054054054055,21.0972972972973,51.574774774774774,0.0,2
STR,Italian Grand Prix 2019,1.4615384615384615,3.076923076923077,9.0,12.0,2,15,C4,7,C4,30,C3,0,,C4-C4-C3,53,5.793,11,2,417,Low,False,33.04054054054055,21.0972972972973,51.574774774774774,0.0,2
VET,Italian Grand Prix 2019,13.0,25.076923076923077,4.0,13.0,3,6,C4,6,C2,29,C2,11,C3,C4-C2-C2-C3,53,5.793,11,2,417,Low,False,33.04054054054055,21.0972972972973,51.574774774774774,0.0,2
RUS,Italian Grand Prix 2019,0.0,0.07692307692307693,14.0,14.0,1,23,C3,29,C2,0,,0,,C3-C2,53,5.793,11,2,417,Low,False,33.04054054054055,21.0972972972973,51.574774774774774,0.0,2
RAI,Italian Grand Prix 2019,2.3846153846153846,2.4615384615384617,0.0,15.0,2,19,C3,7,C3,26,C4,0,,C3-C3-C4,53,5.793,11,2,417,Low,False,33.04054054054055,21.0972972972973,51.574774774774774,0.0,2
GRO,Italian Grand Prix 2019,0.6153846153846154,2.0,13.0,16.0,2,7,C4,22,C3,23,C4,0,,C4-C3-C4,53,5.793,11,2,417,Low,False,33.04054054054055,21.0972972972973,51.574774774774774,0.0,2
KUB,Italian Grand Prix 2019,0.07692307692307693,0.07692307692307693,15.0,17.0,2,29,C3,15,C4,7,C3,0,,C3-C4-C3,53,5.793,11,2,417,Low,False,33.04054054054055,21.0972972972973,51.574774774774774,0.0,2
VET,Singapore Grand Prix 2019,12.071428571428571,25.071428571428573,3.0,1.0,1,19,C5,42,C3,0,,0,,C5-C3,61,5.063,19,3,404,Low,True,35.752903225806456,29.965161290322584,66.45548387096774,0.0,11
LEC,Singapore Grand Prix 2019,13.0,25.071428571428573,1.0,2.0,1,20,C5,41,C3,0,,0,,C5-C3,61,5.063,19,3,404,Low,True,35.752903225806456,29.965161290322584,66.45548387096774,0.0,11
VER,Singapore Grand Prix 2019,13.214285714285714,19.0,4.0,3.0,1,19,C5,42,C3,0,,0,,C5-C3,61,5.063,19,3,404,Low,True,35.752903225806456,29.965161290322584,66.45548387096774,0.0,11
HAM,Singapore Grand Prix 2019,20.285714285714285,36.07142857142857,2.0,4.0,1,26,C5,35,C3,0,,0,,C5-C3,61,5.063,19,3,404,Low,True,35.752903225806456,29.965161290322584,66.45548387096774,0.0,11
BOT,Singapore Grand Prix 2019,15.785714285714286,36.07142857142857,5.0,5.0,1,22,C5,39,C3,0,,0,,C5-C3,61,5.063,19,3,404,Low,True,35.752903225806456,29.965161290322584,66.45548387096774,0.0,11
ALB,Singapore Grand Prix 2019,2.4285714285714284,19.0,6.0,6.0,1,20,C5,41,C3,0,,0,,C5-C3,61,5.063,19,3,404,Low,True,35.752903225806456,29.965161290322584,66.45548387096774,0.0,11
NOR,Singapore Grand Prix 2019,1.7857142857142858,5.928571428571429,9.0,7.0,1,20,C5,41,C3,0,,0,,C5-C3,61,5.063,19,3,404,Low,True,35.752903225806456,29.965161290322584,66.45548387096774,0.0,11
GAS,Singapore Grand Prix 2019,4.642857142857143,3.642857142857143,11.0,8.0,1,32,C3,29,C4,0,,0,,C3-C4,61,5.063,19,3,404,Low,True,35.752903225806456,29.965161290322584,66.45548387096774,0.0,11
HUL,Singapore Grand Prix 2019,2.2142857142857144,4.642857142857143,8.0,9.0,2,1,C5,35,C3,25,C4,0,,C5-C3-C4,61,5.063,19,3,404,Low,True,35.752903225806456,29.965161290322584,66.45548387096774,0.0,11
GIO,Singapore Grand Prix 2019,0.21428571428571427,2.4285714285714284,10.0,10.0,2,34,C4,2,C3,25,C5,0,,C4-C3-C5,61,5.063,19,3,404,Low,True,35.752903225806456,29.965161290322584,66.45548387096774,0.0,11
GRO,Singapore Grand Prix 2019,0.5714285714285714,1.8571428571428572,17.0,11.0,2,23,C4,12,C3,26,C5,0,,C4-C3-C5,61,5.063,19,3,404,Low,True,35.752903225806456,29.965161290322584,66.45548387096774,0.0,11
SAI,Singapore Grand Prix 2019,4.142857142857143,5.928571428571429,7.0,12.0,2,1,C5,34,C3,26,C4,0,,C5-C3-C4,61,5.063,19,3,404,Low,True,35.752903225806456,29.965161290322584,66.45548387096774,0.0,11
STR,Singapore Grand Prix 2019,1.3571428571428572,3.2857142857142856,16.0,13.0,3,31,C4,10,C3,3,C5,17,C5,C4-C3-C5-C5,61,5.063,19,3,404,Low,True,35.752903225806456,29.965161290322584,66.45548387096774,0.0,11
RIC,Singapore Grand Prix 2019,2.4285714285714284,4.642857142857143,20.0,14.0,1,34,C4,27,C3,0,,0,,C4-C3,61,5.063,19,3,404,Low,True,35.752903225806456,29.965161290322584,66.45548387096774,0.0,11
KVY,Singapore Grand Prix 2019,2.357142857142857,3.642857142857143,14.0,15.0,2,12,C4,24,C3,25,C5,0,,C4-C3-C5,61,5.063,19,3,404,Low,True,35.752903225806456,29.965161290322584,66.45548387096774,0.0,11
KUB,Singapore Grand Prix 2019,0.07142857142857142,0.07142857142857142,19.0,16.0,2,21,C4,23,C3,17,C4,0,,C4-C3-C4,61,5.063,19,3,404,Low,True,35.752903225806456,29.965161290322584,66.45548387096774,0.0,11
MAG,Singapore Grand Prix 2019,1.2857142857142858,1.8571428571428572,13.0,17.0,2,18,C4,38,C3,5,C5,0,,C4-C3-C5,61,5.063,19,3,404,Low,True,35.752903225806456,29.965161290322584,66.45548387096774,0.0,11
